TS01, '2000-01-01-00:00:00' 
730486.000000,20.158490
730487.000000,20.335485
730488.000000,20.477464
730489.000000,20.673723
730490.000000,20.817821
730491.000000,20.973668
730492.000000,21.105881
730493.000000,21.278302
730494.000000,21.397297
730495.000000,21.539196
730496.000000,21.703266
730497.000000,21.847196
730498.000000,21.946730
730499.000000,22.113559
730500.000000,22.228736
730501.000000,22.358897
730502.000000,22.459716
730503.000000,22.566123
730504.000000,22.672655
730505.000000,22.792055
730506.000000,22.866729
730507.000000,22.980160
730508.000000,23.051696
730509.000000,23.157050
730510.000000,23.244571
730511.000000,23.309285
730512.000000,23.398155
730513.000000,23.464748
730514.000000,23.515157
730515.000000,23.617287
730516.000000,23.691408
730517.000000,23.706549
730518.000000,23.798302
730519.000000,23.836837
730520.000000,23.896813
730521.000000,23.930714
730522.000000,23.932372
730523.000000,23.956172
730524.000000,24.004431
730525.000000,24.022404
730526.000000,24.045577
730527.000000,24.064037
730528.000000,24.075088
730529.000000,24.064149
730530.000000,24.078128
730531.000000,24.063927
730532.000000,24.043906
730533.000000,24.050897
730534.000000,24.053362
730535.000000,24.055310
730536.000000,24.015133
730537.000000,24.004118
730538.000000,23.970312
730539.000000,23.909441
730540.000000,23.908949
730541.000000,23.859221
730542.000000,23.805225
730543.000000,23.754412
730544.000000,23.693047
730545.000000,23.637195
730546.000000,23.583675
730547.000000,23.525915
730548.000000,23.412164
730549.000000,23.344258
730550.000000,23.265057
730551.000000,23.206169
730552.000000,23.105861
730553.000000,22.992152
730554.000000,22.914721
730555.000000,22.808252
730556.000000,22.693416
730557.000000,22.618198
730558.000000,22.489511
730559.000000,22.383633
730560.000000,22.318348
730561.000000,22.158831
730562.000000,22.040684
730563.000000,21.889078
730564.000000,21.741755
730565.000000,21.620589
730566.000000,21.510179
730567.000000,21.352223
730568.000000,21.213218
730569.000000,21.041163
730570.000000,20.902436
730571.000000,20.728296
730572.000000,20.574636
730573.000000,20.390988
730574.000000,20.238871
730575.000000,20.084895
730576.000000,19.895112
730577.000000,19.703331
730578.000000,19.529172
730579.000000,19.361099
730580.000000,19.182817
730581.000000,19.009456
730582.000000,18.828177
730583.000000,18.617377
730584.000000,18.410011
730585.000000,18.214769
730586.000000,18.051765
730587.000000,17.853331
730588.000000,17.657696
730589.000000,17.465188
730590.000000,17.251610
730591.000000,17.056202
730592.000000,16.816697
730593.000000,16.597265
730594.000000,16.389644
730595.000000,16.171520
730596.000000,15.958487
730597.000000,15.729525
730598.000000,15.473431
730599.000000,15.234120
730600.000000,15.024003
730601.000000,14.794325
730602.000000,14.571665
730603.000000,14.339007
730604.000000,14.116598
730605.000000,13.863559
730606.000000,13.625439
730607.000000,13.394479
730608.000000,13.153401
730609.000000,12.952240
730610.000000,12.725474
730611.000000,12.449817
730612.000000,12.211290
730613.000000,11.950770
730614.000000,11.719785
730615.000000,11.460246
730616.000000,11.227369
730617.000000,10.976789
730618.000000,10.723514
730619.000000,10.486353
730620.000000,10.216007
730621.000000,9.994749
730622.000000,9.726949
730623.000000,9.507691
730624.000000,9.266284
730625.000000,9.039699
730626.000000,8.805753
730627.000000,8.525810
730628.000000,8.290663
730629.000000,8.064346
730630.000000,7.824388
