TrafficLoad, '2007-09-01-16:00:00' 
733286.6667,1.147775
733286.6875,1.06985
733286.7083,1.07195
733286.7292,1.036975
733286.75,0.964925
733286.7708,0.808875
733286.7917,0.568825
733286.8125,0.483875
733286.8333,0.554025
733286.8542,0.477575
733286.875,0.254525
733286.8958,0.139175
733286.9167,0.131525
733286.9375,0.146075
733286.9583,0.182825
733286.9792,0.2334
733287,0.2978
733287.0208,0.247825
733287.0417,0.083475
733287.0625,0.046475
733287.0833,0.136825
733287.1042,0.184075
733287.125,0.188225
733287.1458,0.216725
733287.1667,0.269575
733287.1875,0.25355
733287.2083,0.16865
733287.2292,0.1909
733287.25,0.3203
733287.2708,0.4467
733287.2917,0.5701
733287.3125,0.64605
733287.3333,0.67455
733287.3542,0.86915
733287.375,1.22985
733287.3958,1.328575
733287.4167,1.165325
733287.4375,1.152325
733287.4583,1.289575
733287.4792,1.254775
733287.5,1.047925
733287.5208,0.9226
733287.5417,0.8788
733287.5625,0.8582
733287.5833,0.8608
733287.6042,0.88175
733287.625,0.92105
733287.6458,0.991975
733287.6667,1.094525
733287.6875,1.054425
733287.7083,0.871675
733287.7292,0.772075
733287.75,0.755625
733287.7708,0.733525
733287.7917,0.705775
733287.8125,0.5563
733287.8333,0.2851
733287.8542,0.159225
733287.875,0.178675
733287.8958,0.2365
733287.9167,0.3327
733287.9375,0.4499
733287.9583,0.5881
733287.9792,0.5693
733288,0.3935
733288.0208,0.2771
733288.0417,0.2201
733288.0625,0.248275
733288.0833,0.361625
733288.1042,0.496775
733288.125,0.653725
733288.1458,0.842625
733288.1667,1.063475
733288.1875,1.258225
733288.2083,1.426875
733288.2292,2.14555
733288.25,3.41425
733288.2708,4.83165
733288.2917,6.39775
733288.3125,6.8167
733288.3333,6.0885
733288.3542,6.08615
733288.375,6.80965
733288.3958,6.79475
733288.4167,6.04145
733288.4375,6.077125
733288.4583,6.901775
733288.4792,7.073575
733288.5,6.592525
733288.5208,6.447425
733288.5417,6.638275
733288.5625,6.763075
733288.5833,6.821825
733288.6042,6.863375
733288.625,6.887725
733288.6458,6.510325
733288.6667,5.731175
733288.6875,5.113175
733288.7083,4.656325
733288.7292,4.08095
733288.75,3.38705
733288.7708,2.676725
733288.7917,1.949975
733288.8125,1.581075
733288.8333,1.570025
733288.8542,1.3241
733288.875,0.8433
733288.8958,0.7855
733288.9167,1.1507
733288.9375,1.1307
733288.9583,0.7255
733288.9792,0.6434
733289,0.8844
733289.0208,0.795975
733289.0417,0.378125
733289.0625,0.301375
733289.0833,0.565725
733289.1042,0.618575
733289.125,0.459925
733289.1458,0.644425
733289.1667,1.172075
733289.1875,1.5041
733289.2083,1.6405
733289.2292,2.48915
733289.25,4.05005
733289.2708,5.5913
733289.2917,7.1129
733289.3125,7.711325
733289.3333,7.386575
733289.3542,7.2789
733289.375,7.3883
733289.3958,7.574625
733289.4167,7.837875
733289.4375,7.5451
733289.4583,6.6963
733289.4792,6.737275
733289.5,7.668025
733289.5208,7.7521
733289.5417,6.9895
733289.5625,6.83255
733289.5833,7.28125
733289.6042,7.403425
733289.625,7.199075
733289.6458,6.791675
733289.6667,6.181225
733289.6875,5.401975
733289.7083,4.453925
733289.7292,3.786175
733289.75,3.398725
733289.7708,2.769775
733289.7917,1.899325
733289.8125,1.37355
733289.8333,1.19245
733289.8542,0.941375
733289.875,0.620325
733289.8958,0.647275
733289.9167,1.022225
733289.9375,1.10505
733289.9583,0.89575
733289.9792,0.721975
733290,0.583725
733290.0208,0.452925
733290.0417,0.329575
733290.0625,0.302825
733290.0833,0.372675
733290.1042,0.39735
733290.125,0.37685
733290.1458,0.614775
733290.1667,1.111125
733290.1875,1.35795
733290.2083,1.35525
733290.2292,2.22985
733290.25,3.98175
733290.2708,5.335025
733290.2917,6.289675
733290.3125,6.464375
733290.3333,5.859125
733290.3542,5.814025
733290.375,6.329075
733290.3958,6.758875
733290.4167,7.103425
733290.4375,7.1202
733290.4583,6.8092
733290.4792,7.03255
733290.5,7.79025
733290.5208,7.912925
733290.5417,7.400575
733290.5625,6.993525
733290.5833,6.691775
733290.6042,6.497475
733290.625,6.410625
733290.6458,6.120175
733290.6667,5.626125
733290.6875,5.029225
733290.7083,4.329475
733290.7292,3.9895
733290.75,4.0093
733290.7708,3.4314
733290.7917,2.2558
733290.8125,1.4247
733290.8333,0.9381
733290.8542,0.653625
733290.875,0.571275
733290.8958,0.68975
733290.9167,1.00905
733290.9375,1.11995
733290.9583,1.02245
733290.9792,0.8214
733291,0.5168
733291.0208,0.294525
733291.0417,0.154575
733291.0625,0.1551
733291.0833,0.2961
733291.1042,0.4611
733291.125,0.6501
733291.1458,0.972675
733291.1667,1.428825
733291.1875,1.54235
