TS01, '2000-01-01-00:00:00' 
730486.000000,20.619514
730487.000000,20.698422
730488.000000,20.757563
730489.000000,20.837161
730490.000000,20.893238
730491.000000,20.942302
730492.000000,20.991860
730493.000000,21.059144
730494.000000,21.086279
730495.000000,21.137692
730496.000000,21.179757
730497.000000,21.223923
730498.000000,21.266798
730499.000000,21.287107
730500.000000,21.318628
730501.000000,21.324700
730502.000000,21.324300
730503.000000,21.313669
730504.000000,21.337943
730505.000000,21.301753
730506.000000,21.318494
730507.000000,21.321756
730508.000000,21.300914
730509.000000,21.260917
730510.000000,21.207269
730511.000000,21.186938
730512.000000,21.179697
730513.000000,21.150969
730514.000000,21.105331
730515.000000,21.050297
730516.000000,21.019296
730517.000000,20.981254
730518.000000,20.903947
730519.000000,20.856181
730520.000000,20.819635
730521.000000,20.730035
730522.000000,20.684932
730523.000000,20.627983
730524.000000,20.543026
730525.000000,20.468272
730526.000000,20.374517
730527.000000,20.298303
730528.000000,20.195131
730529.000000,20.108079
730530.000000,20.015566
730531.000000,19.962237
730532.000000,19.833898
730533.000000,19.740614
730534.000000,19.632490
730535.000000,19.508928
730536.000000,19.422720
730537.000000,19.287275
730538.000000,19.182893
730539.000000,19.043312
730540.000000,18.929191
730541.000000,18.784407
730542.000000,18.662455
730543.000000,18.541214
730544.000000,18.385432
730545.000000,18.207452
730546.000000,18.081745
730547.000000,17.921120
730548.000000,17.786006
730549.000000,17.597047
730550.000000,17.428074
730551.000000,17.274446
730552.000000,17.096737
730553.000000,16.949664
730554.000000,16.775531
730555.000000,16.575037
730556.000000,16.389429
730557.000000,16.211060
730558.000000,16.002103
730559.000000,15.807192
730560.000000,15.581818
730561.000000,15.388946
730562.000000,15.179307
730563.000000,14.975571
730564.000000,14.742652
730565.000000,14.527802
730566.000000,14.290354
730567.000000,14.046506
730568.000000,13.803220
730569.000000,13.562271
730570.000000,13.299821
730571.000000,13.072421
730572.000000,12.820436
730573.000000,12.537875
730574.000000,12.298330
730575.000000,12.033344
730576.000000,11.766161
730577.000000,11.505228
730578.000000,11.254255
730579.000000,10.973712
730580.000000,10.651074
730581.000000,10.393559
730582.000000,10.074803
730583.000000,9.781265
730584.000000,9.501404
730585.000000,9.207922
730586.000000,8.920911
730587.000000,8.624926
730588.000000,8.308618
730589.000000,7.987483
730590.000000,7.688321
730591.000000,7.389841
730592.000000,7.044647
730593.000000,6.734258
730594.000000,6.391076
730595.000000,6.062372
730596.000000,5.709717
730597.000000,5.376159
730598.000000,5.059142
730599.000000,4.731149
730600.000000,4.368558
730601.000000,4.039179
730602.000000,3.662693
730603.000000,3.332931
730604.000000,2.992605
730605.000000,2.662964
730606.000000,2.292757
730607.000000,1.937247
730608.000000,1.591455
730609.000000,1.259543
730610.000000,0.893414
730611.000000,0.545785
730612.000000,0.168815
730613.000000,-0.211401
730614.000000,-0.553812
730615.000000,-0.893994
730616.000000,-1.263069
730617.000000,-1.629982
730618.000000,-1.993062
730619.000000,-2.375073
730620.000000,-2.751903
730621.000000,-3.081991
730622.000000,-3.455714
730623.000000,-3.805983
730624.000000,-4.139643
730625.000000,-4.519138
730626.000000,-4.894726
730627.000000,-5.242478
730628.000000,-5.604600
730629.000000,-5.966499
730630.000000,-6.340741
730631.000000,-6.682869
730632.000000,-7.061970
730633.000000,-7.423180
730634.000000,-7.787014
730635.000000,-8.122745
730636.000000,-8.462455
730637.000000,-8.830582
730638.000000,-9.201929
730639.000000,-9.571689
730640.000000,-9.914582
730641.000000,-10.270545
730642.000000,-10.637197
730643.000000,-10.976805
730644.000000,-11.312719
730645.000000,-11.666002
730646.000000,-12.001529
730647.000000,-12.366863
730648.000000,-12.697799
730649.000000,-13.026647
730650.000000,-13.398285
730651.000000,-13.729148
730652.000000,-14.060980
730653.000000,-14.390493
730654.000000,-14.702093
730655.000000,-15.065698
730656.000000,-15.353439
730657.000000,-15.653630
730658.000000,-16.008955
730659.000000,-16.290641
730660.000000,-16.624258
730661.000000,-16.928803
730662.000000,-17.230356
730663.000000,-17.546075
730664.000000,-17.841180
730665.000000,-18.167582
730666.000000,-18.421855
730667.000000,-18.728797
730668.000000,-19.043034
730669.000000,-19.334364
730670.000000,-19.611766
730671.000000,-19.909052
730672.000000,-20.205829
730673.000000,-20.492493
730674.000000,-20.772016
730675.000000,-21.024475
730676.000000,-21.284327
730677.000000,-21.559218
730678.000000,-21.800919
730679.000000,-22.063503
730680.000000,-22.310215
730681.000000,-22.579093
730682.000000,-22.790767
730683.000000,-23.075937
730684.000000,-23.303684
730685.000000,-23.521249
730686.000000,-23.755807
730687.000000,-23.984129
730688.000000,-24.203515
730689.000000,-24.434717
730690.000000,-24.598273
730691.000000,-24.810501
730692.000000,-25.019647
730693.000000,-25.222403
730694.000000,-25.413135
730695.000000,-25.569170
730696.000000,-25.732126
730697.000000,-25.931704
730698.000000,-26.082755
730699.000000,-26.230153
730700.000000,-26.401678
730701.000000,-26.557432
730702.000000,-26.697464
730703.000000,-26.857306
730704.000000,-26.977226
730705.000000,-27.146857
730706.000000,-27.242752
730707.000000,-27.398338
730708.000000,-27.530739
730709.000000,-27.627854
730710.000000,-27.690486
730711.000000,-27.820763
730712.000000,-27.941859
730713.000000,-28.026445
730714.000000,-28.080826
730715.000000,-28.169384
730716.000000,-28.220364
730717.000000,-28.266755
730718.000000,-28.342018
730719.000000,-28.390402
730720.000000,-28.453955
730721.000000,-28.495110
730722.000000,-28.532059
730723.000000,-28.551583
730724.000000,-28.595351
730725.000000,-28.615483
730726.000000,-28.661669
730727.000000,-28.648558
