Depl-Y1, '1993-08-16-12:00:00' 
728157.500000,27.224661
728164.750000,26.984550
728172.000000,27.033596
728179.250000,26.026354
728186.500000,26.669323
728193.750000,26.713565
728201.000000,26.750673
728208.500000,27.243343
728216.000000,26.973066
728223.250000,26.665067
728230.500000,26.762734
728237.750000,26.879976
728245.000000,26.372621
728252.250000,26.895089
728259.500000,26.989996
728266.750000,26.775019
728274.000000,27.058104
728281.250000,27.012772
728288.500000,27.640279
728295.750000,27.909651
728303.000000,28.557681
728307.125000,NaN
728311.250000,28.072548
728318.500000,27.398167
728325.750000,28.197454
728333.000000,28.058129
728340.250000,28.360951
728347.500000,28.215860
728354.750000,28.222783
728362.000000,28.147999
728369.250000,27.768858
728377.250000,27.439442
728384.500000,27.297701
728391.750000,26.984794
728399.000000,27.252908
728406.250000,26.824421
728413.500000,27.447875
728420.750000,27.799306
728428.000000,27.248956
728435.250000,28.051921
728442.500000,28.057383
728449.750000,27.766165
728457.000000,27.379305
728464.250000,28.115782
728471.500000,27.491776
728478.750000,27.420689
728486.000000,28.390871
728493.250000,28.162881
728500.500000,27.975992
728507.750000,27.511977
728515.000000,27.251620
728522.250000,26.936938
728529.500000,26.362321
728536.750000,26.824545
728544.000000,25.931652
728551.250000,25.762112
728558.500000,26.250687
728565.750000,25.793890
728573.000000,25.530150
728580.250000,25.443197
728587.500000,26.036921
728594.750000,26.256472
728600.000000,NaN
728605.250000,26.669141
728612.500000,26.798094
728619.750000,27.091891
728627.000000,26.171764
728634.250000,26.382989
728641.500000,26.453383
728648.750000,26.100920
728656.000000,25.910660
728663.250000,26.313094
728670.500000,26.201014
728677.750000,26.854995
728685.000000,26.927183
728692.250000,26.480644
728699.500000,27.174836
728706.750000,27.838680
728714.000000,27.194763
728721.250000,27.273846
728728.500000,27.532545
728735.750000,27.484129
728743.000000,27.476956
728750.250000,27.479883
728757.500000,27.528248
728764.750000,27.636540
728772.000000,27.556288
728779.250000,27.860740
728786.500000,27.338309
728793.750000,27.870310
728801.000000,27.918118
728808.250000,27.362378
728815.500000,27.404022
728822.750000,27.295880
728830.000000,26.800182
728837.250000,26.587047
728844.500000,25.804544
728851.750000,25.697640
728859.000000,25.742253
728866.250000,25.835702
728873.500000,25.876573
728880.750000,26.033235
728888.000000,26.169828
728895.250000,26.527840
728902.500000,26.610808
728909.750000,26.962196
728917.000000,26.597626
728924.250000,26.661553
728932.000000,27.356453
728938.937500,NaN
728945.875000,NaN
728952.812500,NaN
728959.750000,27.628674
728967.000000,27.266873
728974.250000,27.333828
728980.875000,NaN
728987.500000,27.561269
728994.520833,27.919844
729001.541667,27.738081
729008.583333,28.100670
729015.625000,28.577820
729022.666667,28.969745
729029.708333,28.110848
729036.750000,28.082788
729043.791667,27.938806
729050.833333,28.365176
729057.875000,28.252155
729064.916667,28.665788
729071.958333,28.204249
729079.000000,28.263566
729086.041667,28.501225
729093.083333,28.579179
729100.125000,28.948258
729107.166667,27.811966
729114.208333,28.146907
729121.250000,28.283860
729128.291667,28.066289
729135.333333,28.373927
729142.375000,27.531115
729149.416667,27.679561
729156.458333,27.449269
729163.500000,26.725400
729171.000000,26.723708
729178.500000,26.207417
729186.031250,NaN
729193.562500,26.696376
729200.750000,26.353601
729208.000000,26.382417
729215.250000,25.597493
729222.500000,25.675993
729229.750000,25.353318
729237.000000,25.409615
729244.250000,25.968706
729251.500000,26.271377
729258.750000,26.331720
729266.000000,26.594648
729273.250000,26.830466
729280.500000,26.778566
729287.750000,26.933516
729295.000000,26.109907
729302.250000,26.399047
729309.500000,26.682114
729316.750000,26.871541
729324.000000,27.151337
729331.250000,27.806770
729338.260417,27.787627
729344.630208,NaN
729351.000000,27.630324
729358.010417,27.548298
729364.802083,NaN
729371.593750,27.285098
729378.604167,27.858285
729385.614583,27.582249
729392.625000,27.293378
729399.635417,26.664195
729406.645833,25.796181
729413.656250,25.629132
729420.666667,25.735964
729427.677083,26.032895
729434.687500,25.908822
729441.697917,26.100158
729448.708333,26.682581
729455.718750,26.956172
729462.729167,26.753313
729469.739583,26.480096
729476.750000,25.441743
729483.760417,25.002414
729490.770833,25.140239
729497.781250,24.584933
729504.791667,25.435144
729511.802083,24.953278
729518.812500,24.463831
729525.822917,24.697382
729532.833333,24.353162
729539.843750,24.373305
729546.854167,24.590900
729553.864583,25.428800
729560.875000,24.907501
729567.885417,25.608949
729574.895833,25.587971
729581.906250,25.926398
729588.916667,26.111278
729595.927083,26.435585
729602.937500,26.462728
729609.947917,26.358618
729616.958333,26.157205
729623.968750,26.877574
729630.979167,26.499428
729637.989583,26.635697
729645.000000,26.999824
729652.010417,27.287948
729659.020833,26.934782
729666.031250,26.188239
729673.041667,26.566871
729680.052083,26.004461
729687.062500,25.906783
729694.072917,26.202086
729701.083333,26.695742
729708.093750,26.466539
729715.104167,26.142373
729722.114583,25.712076
729729.125000,25.610332
729736.135417,25.789325
729743.145833,25.886467
729750.156250,26.507619
729757.166667,27.107635
729764.343750,27.424715
729771.354167,27.049616
729778.364583,26.750428
729785.375000,26.423031
729792.385417,26.937578
729799.395833,27.242784
729806.406250,27.089602
729813.416667,26.612902
729820.427083,26.534651
729827.437500,26.538206
729834.447917,26.849251
729841.458333,26.703967
729848.468750,26.953209
729855.479167,27.173669
729862.489583,26.858277
729869.500000,26.936586
729876.510417,26.410987
729883.520833,26.515568
729890.531250,25.472394
729897.541667,25.176353
729904.552083,25.443010
729911.562500,26.555549
729918.572917,25.976807
729925.583333,26.991035
729932.593750,26.630863
729939.604167,26.728926
729946.614583,26.820046
729953.625000,26.414999
729960.635417,26.892208
729967.645833,26.433578
729974.656250,26.798822
729981.666667,26.579560
729988.677083,26.867391
729995.687500,27.018602
730002.697917,26.664812
730009.708333,26.677815
730016.718750,27.276018
730023.729167,27.529545
730030.739583,26.679328
730037.750000,26.901805
730044.760417,26.690977
730051.770833,26.810760
730058.781250,26.518008
730065.791667,26.497364
730072.802083,26.979295
730079.812500,27.097743
730086.822917,26.759529
730093.833333,26.776798
730100.843750,26.867823
730107.854167,27.697984
730114.864583,27.129611
730121.875000,27.297351
730128.885417,27.382395
730135.895833,27.484524
730142.906250,27.456010
730149.916667,27.466295
730156.927083,27.071245
730163.937500,26.981318
730170.947917,26.830886
730177.958333,26.756488
730184.968750,26.243852
730191.979167,26.211858
730198.989583,25.834039
730206.000000,25.931566
730213.010417,26.052823
730220.020833,26.817581
730227.031250,27.024561
730234.041667,26.892764
730241.052083,26.607299
730248.062500,27.015309
730255.072917,26.588650
730262.083333,26.848950
730269.093750,26.716803
730276.104167,26.390213
730283.114583,25.828583
730290.125000,26.187194
730297.135417,26.016896
730304.145833,26.540053
730311.156250,26.836142
730318.166667,26.523161
730325.177083,26.680000
730332.187500,27.180553
730339.197917,27.554675
730346.208333,27.642937
730353.218750,27.658008
730360.229167,27.816605
730367.239583,27.459716
730374.250000,27.537680
730381.260417,27.244989
730388.270833,27.059109
730395.281250,26.901690
730402.291667,26.937687
730409.302083,27.679166
730416.312500,27.553048
730423.322917,27.382964
730430.333333,27.143050
730437.343750,27.488552
730444.354167,27.971120
730451.364583,28.119867
730458.375000,27.979065
730465.385417,27.665999
730472.395833,27.886167
730479.406250,27.898133
730486.416667,27.933707
730493.427083,27.237531
730500.437500,27.700249
730507.447917,27.705786
730514.458333,27.444762
730521.468750,27.260095
730528.479167,26.671050
730535.489583,26.696250
730542.500000,26.334472
730549.510417,26.357541
