DISP, '2013-08-01-00:00:00' 
735447.000000,25.725783
735447.041667,25.741266
735447.083333,25.753250
735447.125000,25.728352
735447.166667,25.724612
735447.208333,25.715666
735447.250000,25.732972
735447.291667,25.733243
735447.333333,25.737434
735447.375000,25.725996
735447.416667,25.686922
735447.458333,25.615034
735447.500000,25.589061
735447.541667,25.579116
735447.583333,25.581021
735447.625000,25.577687
735447.666667,25.603226
735447.708333,25.587439
735447.750000,25.628704
735447.791667,25.638174
735447.833333,25.654594
735447.875000,25.701048
735447.916667,25.702404
735447.958333,25.705303
735448.000000,25.735111
735448.041667,25.716757
735448.083333,25.718940
735448.125000,25.724653
735448.166667,25.735621
735448.208333,25.732967
735448.250000,25.724509
735448.291667,25.698368
735448.333333,25.646150
735448.375000,25.647383
735448.416667,25.621776
735448.458333,25.617656
735448.500000,25.602463
735448.541667,25.620315
735448.583333,25.617622
735448.625000,25.612750
735448.666667,25.632025
735448.708333,25.629911
735448.750000,25.635284
735448.791667,25.642076
735448.833333,25.667565
735448.875000,25.658199
735448.916667,25.669155
735448.958333,25.650911
735449.000000,25.645978
735449.041667,25.618564
735449.083333,25.626481
735449.125000,25.650190
735449.166667,25.675551
735449.208333,25.664491
735449.250000,25.704343
735449.291667,25.667252
735449.333333,25.668304
735449.375000,25.624856
735449.416667,25.618997
735449.458333,25.596330
735449.500000,25.594099
735449.541667,25.596699
735449.583333,25.616437
735449.625000,25.611680
735449.666667,25.615444
735449.708333,25.652242
735449.750000,25.674473
735449.791667,25.705485
735449.833333,25.729646
735449.875000,25.741377
735449.916667,25.788550
735449.958333,25.787495
735450.000000,25.792941
735450.041667,25.780148
735450.083333,25.780212
735450.125000,25.777641
735450.166667,25.782487
735450.208333,25.756268
735450.250000,25.739070
735450.291667,25.716521
735450.333333,25.719132
735450.375000,25.705986
735450.416667,25.720417
735450.458333,25.690372
735450.500000,25.685396
735450.541667,25.714198
735450.583333,25.713428
735450.625000,25.698731
735450.666667,25.667802
735450.708333,25.675152
735450.750000,25.705675
735450.791667,25.722610
735450.833333,25.754237
735450.875000,25.786106
735450.916667,25.823913
735450.958333,25.822454
735451.000000,25.801306
735451.041667,25.828485
735451.083333,25.830444
735451.125000,25.787436
735451.166667,25.765222
735451.208333,25.774273
735451.250000,25.764795
735451.291667,25.767839
