DISP, '2013-08-01-00:00:00' 
735447.000000,25.675873
735447.041667,25.722187
735447.083333,25.719397
735447.125000,25.741398
735447.166667,25.752595
735447.208333,25.724607
735447.250000,25.661659
735447.291667,25.651395
735447.333333,25.643430
735447.375000,25.666345
735447.416667,25.647574
735447.458333,25.651438
735447.500000,25.645448
735447.541667,25.648285
735447.583333,25.657175
735447.625000,25.669558
735447.666667,25.652788
735447.708333,25.691876
735447.750000,25.673148
735447.791667,25.671634
735447.833333,25.645696
735447.875000,25.671051
735447.916667,25.684030
735447.958333,25.694726
735448.000000,25.716056
735448.041667,25.715192
735448.083333,25.709289
735448.125000,25.695123
735448.166667,25.722682
735448.208333,25.720305
735448.250000,25.733948
735448.291667,25.720742
735448.333333,25.695869
735448.375000,25.685257
735448.416667,25.633779
735448.458333,25.609217
735448.500000,25.622831
735448.541667,25.620162
735448.583333,25.610139
735448.625000,25.626117
735448.666667,25.608025
735448.708333,25.614741
735448.750000,25.642113
735448.791667,25.677495
735448.833333,25.691346
735448.875000,25.673452
735448.916667,25.679165
735448.958333,25.661241
735449.000000,25.661928
735449.041667,25.640564
735449.083333,25.634627
735449.125000,25.639430
735449.166667,25.644069
735449.208333,25.653906
735449.250000,25.646533
735449.291667,25.629377
735449.333333,25.631192
735449.375000,25.609380
735449.416667,25.604967
735449.458333,25.618266
735449.500000,25.630486
735449.541667,25.597870
735449.583333,25.598804
735449.625000,25.592967
735449.666667,25.583493
735449.708333,25.605638
735449.750000,25.655945
735449.791667,25.700753
735449.833333,25.701518
735449.875000,25.701661
735449.916667,25.745016
735449.958333,25.734922
735450.000000,25.766454
735450.041667,25.776617
735450.083333,25.786216
735450.125000,25.768672
735450.166667,25.757680
735450.208333,25.781684
735450.250000,25.745968
735450.291667,25.726837
735450.333333,25.723037
735450.375000,25.681414
735450.416667,25.664968
735450.458333,25.664152
735450.500000,25.638845
735450.541667,25.631377
735450.583333,25.671343
735450.625000,25.647317
735450.666667,25.664692
735450.708333,25.651470
735450.750000,25.642962
735450.791667,25.677532
735450.833333,25.721509
735450.875000,25.698378
735450.916667,25.694572
735450.958333,25.672166
735451.000000,25.676746
735451.041667,25.693236
735451.083333,25.704653
735451.125000,25.682768
735451.166667,25.648106
735451.208333,25.619930
735451.250000,25.614913
735451.291667,25.615605
735451.333333,25.619003
735451.375000,25.609232
735451.416667,25.611556
735451.458333,25.587173
735451.500000,25.549662
735451.541667,25.571281
735451.583333,25.571420
735451.625000,25.561220
735451.666667,25.570960
735451.708333,25.589029
735451.750000,25.628637
735451.791667,25.653082
735451.833333,25.673827
735451.875000,25.666322
735451.916667,25.691572
735451.958333,25.674745
735452.000000,25.691095
735452.041667,25.737324
735452.083333,25.733585
735452.125000,25.737561
735452.166667,25.752246
735452.208333,25.709809
735452.250000,25.678224
735452.291667,25.671813
735452.333333,25.651545
735452.375000,25.645158
735452.416667,25.628774
735452.458333,25.627853
735452.500000,25.596507
735452.541667,25.587224
735452.583333,25.559265
735452.625000,25.564555
735452.666667,25.565450
735452.708333,25.605407
735452.750000,25.575311
735452.791667,25.600368
735452.833333,25.593136
735452.875000,25.655545
735452.916667,25.677484
735452.958333,25.693598
735453.000000,25.715082
735453.041667,25.686485
735453.083333,25.670052
735453.125000,25.657809
735453.166667,25.666116
735453.208333,25.651519
735453.250000,25.624116
735453.291667,25.633240
735453.333333,25.595385
735453.375000,25.563081
735453.416667,25.568588
735453.458333,25.577100
735453.500000,25.527211
735453.541667,25.534447
735453.583333,25.544580
735453.625000,25.541308
735453.666667,25.520996
735453.708333,25.538173
735453.750000,25.593661
735453.791667,25.634409
735453.833333,25.644800
735453.875000,25.675606
735453.916667,25.664124
735453.958333,25.666674
735454.000000,25.678037
735454.041667,25.689318
735454.083333,25.668474
735454.125000,25.649911
735454.166667,25.670512
735454.208333,25.661479
735454.250000,25.619156
735454.291667,25.615554
735454.333333,25.576562
735454.375000,25.587677
735454.416667,25.610205
735454.458333,25.563441
735454.500000,25.575008
735454.541667,25.621904
735454.583333,25.624755
735454.625000,25.639229
735454.666667,25.652200
735454.708333,25.663179
735454.750000,25.674134
735454.791667,25.698380
735454.833333,25.665555
735454.875000,25.691495
735454.916667,25.701676
735454.958333,25.736030
735455.000000,25.734771
735455.041667,25.730581
735455.083333,25.725667
735455.125000,25.724427
735455.166667,25.722375
735455.208333,25.711808
735455.250000,25.720340
735455.291667,25.700139
735455.333333,25.693195
735455.375000,25.665777
735455.416667,25.655724
735455.458333,25.614577
735455.500000,25.634911
735455.541667,25.658097
735455.583333,25.645360
735455.625000,25.619333
735455.666667,25.623192
735455.708333,25.641673
735455.750000,25.659201
735455.791667,25.711724
735455.833333,25.745456
735455.875000,25.779084
735455.916667,25.782131
735455.958333,25.795550
735456.000000,25.794106
735456.041667,25.836805
735456.083333,25.844395
735456.125000,25.840245
735456.166667,25.851962
735456.208333,25.836857
735456.250000,25.813601
735456.291667,25.774004
735456.333333,25.756531
735456.375000,25.728146
735456.416667,25.720850
735456.458333,25.725527
735456.500000,25.723740
735456.541667,25.708678
735456.583333,25.718508
735456.625000,25.722508
735456.666667,25.724130
735456.708333,25.698292
735456.750000,25.737354
735456.791667,25.742361
735456.833333,25.780039
735456.875000,25.778580
735456.916667,25.802858
735456.958333,25.822825
735457.000000,25.843382
735457.041667,25.806387
735457.083333,25.787313
735457.125000,25.754525
735457.166667,25.758321
735457.208333,25.721671
735457.250000,25.710026
735457.291667,25.718830
735457.333333,25.682336
735457.375000,25.672482
735457.416667,25.644293
735457.458333,25.634379
735457.500000,25.606488
735457.541667,25.572402
735457.583333,25.551147
735457.625000,25.579031
735457.666667,25.593777
735457.708333,25.609086
735457.750000,25.620670
735457.791667,25.626757
735457.833333,25.647242
735457.875000,25.664131
735457.916667,25.662400
735457.958333,25.673966
735458.000000,25.706300
735458.041667,25.709958
735458.083333,25.684061
735458.125000,25.660874
735458.166667,25.663638
735458.208333,25.632680
735458.250000,25.589156
735458.291667,25.580573
735458.333333,25.584972
735459.375000,25.552045
735459.416667,25.541259
735459.458333,25.566314
735459.500000,25.546476
735459.541667,25.542197
735459.583333,25.533459
735459.625000,25.551406
735459.666667,25.551993
735459.708333,25.570256
735459.750000,25.590506
735459.791667,25.602230
735459.833333,25.640236
735459.875000,25.687754
735459.916667,25.726797
735459.958333,25.721894
735460.000000,25.775358
735460.041667,25.774975
735460.083333,25.754643
735460.125000,25.730384
735460.166667,25.688892
735460.208333,25.668338
735460.250000,25.647953
735460.291667,25.646047
735460.333333,25.604771
735460.375000,25.593066
735460.416667,25.557303
735460.458333,25.513290
735460.500000,25.499922
735460.541667,25.500532
735460.583333,25.479229
735460.625000,25.503997
735460.666667,25.496879
735460.708333,25.505989
735460.750000,25.524491
735460.791667,25.524847
735460.833333,25.524965
735460.875000,25.509169
735460.916667,25.538677
735460.958333,25.557016
735461.000000,25.580920
735461.041667,25.572192
735461.083333,25.573206
735461.125000,25.559301
735461.166667,25.544169
735461.208333,25.524265
735461.250000,25.494869
735461.291667,25.505806
735461.333333,25.509530
735461.375000,25.514912
735461.416667,25.488871
735461.458333,25.518643
735461.500000,25.524546
735461.541667,25.528950
735461.583333,25.555381
735461.625000,25.580740
735461.666667,25.586761
735461.708333,25.616849
735461.750000,25.630070
735461.791667,25.634755
735461.833333,25.644756
735461.875000,25.672457
735461.916667,25.694444
735461.958333,25.698116
735462.000000,25.726078
735462.041667,25.701202
735462.083333,25.683139
735462.125000,25.668425
735462.166667,25.650645
735462.208333,25.625655
735462.250000,25.623492
735462.291667,25.629972
735462.333333,25.614241
735462.375000,25.617881
735462.416667,25.610177
735462.458333,25.626556
735462.500000,25.617053
735462.541667,25.630637
