TS01, '2000-01-01-00:00:00' 
730486.000000,20.079608
730486.500000,20.116326
730487.000000,20.174925
730487.500000,20.196136
730488.000000,20.268520
730488.500000,20.314665
730489.000000,20.337047
730489.500000,20.369923
730490.000000,20.396639
730490.500000,20.416929
730491.000000,20.473293
730491.500000,20.506272
730492.000000,20.523522
730492.500000,20.570864
730493.000000,20.596058
730493.500000,20.632408
730494.000000,20.627436
730494.500000,20.667482
730495.000000,20.669415
730495.500000,20.710778
730496.000000,20.759971
730496.500000,20.776949
730497.000000,20.792254
730497.500000,20.811706
730498.000000,20.812862
730498.500000,20.850984
730499.000000,20.891207
730499.500000,20.873711
730500.000000,20.916870
730500.500000,20.920683
730501.000000,20.954141
730501.500000,20.986220
730502.000000,20.987325
730502.500000,21.009818
730503.000000,21.020024
730503.500000,21.011474
730504.000000,21.010355
730504.500000,21.034973
730505.000000,21.054899
730505.500000,21.054923
730506.000000,21.081539
730506.500000,21.043598
730507.000000,21.025691
730507.500000,21.068557
730508.000000,21.075299
730508.500000,21.061367
730509.000000,21.072704
730509.500000,21.062983
730510.000000,21.078742
730510.500000,21.076932
730511.000000,21.084066
730511.500000,21.070772
730512.000000,21.086557
730512.500000,21.046204
730513.000000,21.066638
730513.500000,21.069626
730514.000000,21.059988
730514.500000,21.036051
730515.000000,21.026481
730515.500000,21.024850
730516.000000,21.003401
730516.500000,21.004725
730517.000000,20.966275
730517.500000,20.946658
730518.000000,20.960407
730518.500000,20.926973
730519.000000,20.902447
730519.500000,20.906990
730520.000000,20.866380
730520.500000,20.851372
730521.000000,20.843673
730521.500000,20.792112
730522.000000,20.754568
730522.500000,20.748105
730523.000000,20.677431
730523.500000,20.689719
730524.000000,20.663258
730524.500000,20.641823
730525.000000,20.585225
730525.500000,20.578024
730526.000000,20.537526
730526.500000,20.496936
730527.000000,20.449036
730527.500000,20.423741
730528.000000,20.375366
730528.500000,20.351150
730529.000000,20.309684
730529.500000,20.284705
730530.000000,20.255639
730530.500000,20.209224
730531.000000,20.179379
730531.500000,20.125938
730532.000000,20.075569
730532.500000,20.023356
730533.000000,19.977691
730533.500000,19.925338
730534.000000,19.893841
730534.500000,19.828349
730535.000000,19.771518
730535.500000,19.731404
730536.000000,19.649661
730536.500000,19.620414
730537.000000,19.583101
730537.500000,19.533930
730538.000000,19.453015
730538.500000,19.405242
730539.000000,19.367513
730539.500000,19.301940
730540.000000,19.203128
730540.500000,19.167183
730541.000000,19.098076
730541.500000,19.046447
730542.000000,18.944340
730542.500000,18.886819
730543.000000,18.830700
730543.500000,18.746249
730544.000000,18.677309
730544.500000,18.611851
730545.000000,18.546211
730545.500000,18.458418
730546.000000,18.398038
730546.500000,18.320334
730547.000000,18.244035
730547.500000,18.177360
730548.000000,18.120028
730548.500000,18.032141
730549.000000,17.973626
730549.500000,17.838440
730550.000000,17.770100
730550.500000,17.711469
730551.000000,17.600853
730551.500000,17.549291
730552.000000,17.456214
730552.500000,17.348926
730553.000000,17.260435
730553.500000,17.173914
730554.000000,17.069079
730554.500000,16.972551
730555.000000,16.886911
730555.500000,16.804274
730556.000000,16.724140
730556.500000,16.612866
730557.000000,16.527146
730557.500000,16.395740
730558.000000,16.312460
