TS01, '2000-01-01-00:00:00' 
730486.000000,20.091043
730487.000000,20.130511
730488.000000,20.180567
730489.000000,20.273890
730490.000000,20.298261
730491.000000,20.366074
730492.000000,20.405519
730493.000000,20.472054
730494.000000,20.504904
730495.000000,20.561197
730496.000000,20.585456
730497.000000,20.632316
730498.000000,20.686472
730499.000000,20.709309
730500.000000,20.730600
730501.000000,20.720240
730502.000000,20.760938
730503.000000,20.813086
730504.000000,20.783936
730505.000000,20.795148
730506.000000,20.796676
730507.000000,20.775071
730508.000000,20.757515
730509.000000,20.767280
730510.000000,20.740831
730511.000000,20.735080
730512.000000,20.704185
730513.000000,20.685077
730514.000000,20.658873
730515.000000,20.633590
730516.000000,20.597016
730517.000000,20.545497
730518.000000,20.505796
730519.000000,20.449844
730520.000000,20.396052
730521.000000,20.318895
730522.000000,20.271936
730523.000000,20.217416
730524.000000,20.152745
730525.000000,20.073689
730526.000000,20.014570
730527.000000,19.947484
730528.000000,19.845879
730529.000000,19.743506
730530.000000,19.660240
730531.000000,19.552225
730532.000000,19.462841
730533.000000,19.373110
730534.000000,19.229212
730535.000000,19.120974
730536.000000,18.974252
730537.000000,18.877995
730538.000000,18.737190
730539.000000,18.575884
730540.000000,18.435396
730541.000000,18.323926
730542.000000,18.165535
730543.000000,18.004994
730544.000000,17.877646
730545.000000,17.710063
730546.000000,17.554180
730547.000000,17.376231
730548.000000,17.218540
730549.000000,17.054409
730550.000000,16.848747
730551.000000,16.672256
730552.000000,16.465788
730553.000000,16.302115
730554.000000,16.116704
730555.000000,15.914337
730556.000000,15.717000
730557.000000,15.514745
730558.000000,15.277592
730559.000000,15.089630
730560.000000,14.888263
730561.000000,14.647243
730562.000000,14.430622
730563.000000,14.197899
730564.000000,13.963485
730565.000000,13.741096
730566.000000,13.486267
730567.000000,13.254076
730568.000000,13.046809
730569.000000,12.798029
730570.000000,12.562229
730571.000000,12.269105
730572.000000,12.008309
730573.000000,11.740396
730574.000000,11.479571
730575.000000,11.192653
730576.000000,10.939209
730577.000000,10.678858
730578.000000,10.403600
730579.000000,10.129257
730580.000000,9.868640
730581.000000,9.571797
730582.000000,9.259978
730583.000000,8.981334
730584.000000,8.698797
730585.000000,8.388665
730586.000000,8.112217
730587.000000,7.805713
730588.000000,7.503780
730589.000000,7.197376
730590.000000,6.907257
730591.000000,6.576076
730592.000000,6.275776
730593.000000,5.963491
730594.000000,5.635534
730595.000000,5.337434
730596.000000,5.009812
730597.000000,4.699140
730598.000000,4.372227
730599.000000,4.025954
730600.000000,3.721485
730601.000000,3.388806
730602.000000,3.032947
730603.000000,2.713682
730604.000000,2.426114
730605.000000,2.047596
730606.000000,1.747019
730607.000000,1.405909
730608.000000,1.098151
730609.000000,0.766877
730610.000000,0.409863
730611.000000,0.078667
730612.000000,-0.237719
730613.000000,-0.597803
730614.000000,-0.961425
730615.000000,-1.302838
730616.000000,-1.653105
730617.000000,-1.993630
730618.000000,-2.361041
730619.000000,-2.682882
730620.000000,-3.056291
730621.000000,-3.362027
730622.000000,-3.739110
730623.000000,-4.045087
730624.000000,-4.384406
730625.000000,-4.721701
730626.000000,-5.070458
730627.000000,-5.424997
730628.000000,-5.786147
730629.000000,-6.091739
730630.000000,-6.446811
730631.000000,-6.785719
730632.000000,-7.091903
730633.000000,-7.451614
730634.000000,-7.813027
730635.000000,-8.144755
730636.000000,-8.486934
730637.000000,-8.833230
730638.000000,-9.164325
730639.000000,-9.506858
730640.000000,-9.842446
730641.000000,-10.166955
730642.000000,-10.502712
730643.000000,-10.801076
730644.000000,-11.100580
730645.000000,-11.435401
730646.000000,-11.787358
730647.000000,-12.090970
730648.000000,-12.445798
730649.000000,-12.727741
730650.000000,-13.082610
730651.000000,-13.385242
730652.000000,-13.667938
730653.000000,-14.011305
730654.000000,-14.313750
730655.000000,-14.635664
730656.000000,-14.935898
730657.000000,-15.239200
730658.000000,-15.525781
730659.000000,-15.832722
730660.000000,-16.128213
730661.000000,-16.414238
730662.000000,-16.685353
730663.000000,-16.978805
730664.000000,-17.244804
730665.000000,-17.564489
730666.000000,-17.807475
730667.000000,-18.118334
730668.000000,-18.397432
730669.000000,-18.644697
730670.000000,-18.912468
730671.000000,-19.193006
730672.000000,-19.455064
730673.000000,-19.693994
730674.000000,-19.945326
730675.000000,-20.187112
730676.000000,-20.448210
730677.000000,-20.673583
730678.000000,-20.917319
730679.000000,-21.146790
730680.000000,-21.353857
730681.000000,-21.596042
730682.000000,-21.840830
730683.000000,-22.046486
730684.000000,-22.279559
730685.000000,-22.482410
730686.000000,-22.685786
