DISP01, '2000-01-01-00:00:00' 
730486.000000,20.060443
730486.330000,20.135258
730486.660000,20.195627
730486.990000,20.257424
730487.320000,20.290445
730487.650000,20.314909
730487.980000,20.371845
730488.310000,20.433419
730488.640000,20.497502
730488.970000,20.559556
730489.300000,20.585383
730489.630000,20.666144
730489.960000,20.713854
730490.290000,20.779314
730490.620000,20.815426
730490.950000,20.852457
730491.280000,20.903480
730491.610000,20.982941
730491.940000,21.039528
730492.270000,21.077057
730492.600000,21.107561
730492.930000,21.162517
730493.260000,21.217968
730493.590000,21.271156
730493.920000,21.328794
730494.250000,21.354328
730494.580000,21.403175
730494.910000,21.419450
730495.240000,21.467755
730495.570000,21.521361
730495.900000,21.589183
730496.230000,21.613265
730496.560000,21.701599
730496.890000,21.722506
730497.220000,21.766248
730497.550000,21.810929
730497.880000,21.866791
730498.210000,21.900794
730498.540000,21.947753
730498.870000,21.996088
730499.200000,22.026214
730499.530000,22.089889
730499.860000,22.112061
730500.190000,22.174149
730500.520000,22.201506
730500.850000,22.275999
730501.180000,22.295859
730501.510000,22.332592
730501.840000,22.397496
730502.170000,22.437443
730502.500000,22.465544
730502.830000,22.509551
730503.160000,22.537275
730503.490000,22.575808
730503.820000,22.601195
730504.150000,22.623455
730504.480000,22.679676
730504.810000,22.707743
730505.140000,22.741123
730505.470000,22.784988
730505.800000,22.823405
730506.130000,22.879707
730506.460000,22.895223
730506.790000,22.921891
730507.120000,22.936003
730507.450000,22.997848
730507.780000,23.027332
730508.110000,23.054539
730508.440000,23.092105
730508.770000,23.105424
730509.100000,23.131460
730509.430000,23.161153
730509.760000,23.186470
730510.090000,23.219420
730510.420000,23.233325
730510.750000,23.263667
730511.080000,23.326260
730511.410000,23.332501
730511.740000,23.373995
730512.070000,23.400631
730512.400000,23.410588
730512.730000,23.426423
730513.060000,23.437735
730513.390000,23.479026
730513.720000,23.500200
730514.050000,23.514374
730514.380000,23.538253
730514.710000,23.566634
730515.040000,23.596920
730515.370000,23.624848
730515.700000,23.695203
730516.030000,23.688080
730516.360000,23.681305
730516.690000,23.719642
730517.020000,23.725316
730517.350000,23.735557
730517.680000,23.759431
730518.010000,23.796567
730518.340000,23.791033
730518.670000,23.844067
730519.000000,23.830865
730519.330000,23.859583
730519.660000,23.877047
730519.990000,23.902225
730520.320000,23.897194
730520.650000,23.895766
730520.980000,23.891113
730521.310000,23.916223
730521.640000,23.933259
730521.970000,23.968211
730522.300000,23.956627
730522.630000,23.979421
730522.960000,23.996638
730523.290000,24.008753
730523.620000,24.046043
730523.950000,24.045499
730524.280000,24.040534
730524.610000,24.017728
730524.940000,24.053931
730525.270000,24.048590
730525.600000,24.052458
730525.930000,24.082712
730526.260000,24.098996
730526.590000,24.078238
730526.920000,24.103572
730527.250000,24.121677
730527.580000,24.098985
730527.910000,24.106181
730528.240000,24.109851
730528.570000,24.125664
730528.900000,24.091367
730529.230000,24.124958
730529.560000,24.166542
730529.890000,24.153181
730530.220000,24.147467
730530.550000,24.162580
730530.880000,24.160715
730531.210000,24.163657
730531.540000,24.168589
730531.870000,24.150213
730532.200000,24.145785
730532.530000,24.155676
730532.860000,24.152300
730533.190000,24.130365
730533.520000,24.153765
730533.850000,24.128222
730534.180000,24.119211
730534.510000,24.128457
730534.840000,24.103440
730535.170000,24.095652
730535.500000,24.082378
730535.830000,24.092508
730536.160000,24.087605
730536.490000,24.079992
730536.820000,24.080400
730537.150000,24.059891
730537.480000,24.051552
730537.810000,24.037495
730538.140000,24.023674
730538.470000,24.022796
730538.800000,24.032677
730539.130000,23.996361
730539.460000,23.995690
730539.790000,23.985778
730540.120000,23.953497
730540.450000,23.958445
730540.780000,23.941024
730541.110000,23.925879
730541.440000,23.931878
730541.770000,23.919761
730542.100000,23.892134
730542.430000,23.922316
730542.760000,23.886413
730543.090000,23.841965
730543.420000,23.844964
730543.750000,23.824935
730544.080000,23.821607
730544.410000,23.801000
730544.740000,23.779877
730545.070000,23.773331
730545.400000,23.749664
730545.730000,23.728217
730546.060000,23.685549
730546.390000,23.654263
730546.720000,23.642382
730547.050000,23.626235
730547.380000,23.600113
730547.710000,23.575542
730548.040000,23.546888
730548.370000,23.527852
730548.700000,23.494068
730549.030000,23.493560
730549.360000,23.451180
730549.690000,23.454492
730550.020000,23.428995
730550.350000,23.410704
730550.680000,23.389310
730551.010000,23.342234
730551.340000,23.303093
730551.670000,23.281492
730552.000000,23.262774
730552.330000,23.244041
730552.660000,23.206791
730552.990000,23.177949
730553.320000,23.143657
730553.650000,23.104168
730553.980000,23.099006
730554.310000,23.050583
730554.640000,23.033295
730554.970000,22.967577
730555.300000,22.959330
730555.630000,22.942771
730555.960000,22.910154
730556.290000,22.874306
730556.620000,22.848874
730556.950000,22.802991
730557.280000,22.781155
730557.610000,22.745188
730557.940000,22.693864
730558.270000,22.637950
730558.600000,22.632297
730558.930000,22.565818
730559.260000,22.554413
730559.590000,22.494830
730559.920000,22.462863
730560.250000,22.442567
730560.580000,22.388842
730560.910000,22.323367
730561.240000,22.311590
730561.570000,22.252508
730561.900000,22.235012
730562.230000,22.204214
730562.560000,22.153298
730562.890000,22.108208
730563.220000,22.065096
730563.550000,22.038329
730563.880000,21.968762
730564.210000,21.918910
730564.540000,21.876367
730564.870000,21.868013
730565.200000,21.806856
730565.530000,21.752734
730565.860000,21.709230
730566.190000,21.656738
730566.520000,21.595050
730566.850000,21.573434
730567.180000,21.511688
730567.510000,21.446669
730567.840000,21.423196
730568.170000,21.374106
730568.500000,21.341750
730568.830000,21.292943
730569.160000,21.241522
730569.490000,21.176865
730569.820000,21.099683
730570.150000,21.095968
730570.480000,21.026855
730570.810000,20.964060
730571.140000,20.933020
730571.470000,20.892422
730571.800000,20.835913
730572.130000,20.786378
730572.460000,20.728869
730572.790000,20.662302
730573.120000,20.636026
730573.450000,20.604917
730573.780000,20.535574
730574.110000,20.490668
730574.440000,20.426048
730574.770000,20.393957
730575.100000,20.331492
730575.430000,20.265365
730575.760000,20.201378
730576.090000,20.128977
730576.420000,20.108584
730576.750000,20.055348
730577.080000,19.972014
730577.410000,19.912044
730577.740000,19.877796
730578.070000,19.791787
730578.400000,19.712224
730578.730000,19.673625
730579.060000,19.624380
730579.390000,19.582449
730579.720000,19.533631
730580.050000,19.473863
730580.380000,19.391139
730580.710000,19.350048
730581.040000,19.308862
730581.370000,19.210144
730581.700000,19.169235
730582.030000,19.097574
730582.360000,19.066290
730582.690000,19.018018
730583.020000,18.930770
730583.350000,18.875555
730583.680000,18.821349
730584.010000,18.773471
730584.340000,18.680911
730584.670000,18.643108
730585.000000,18.560797
730585.330000,18.492331
730585.660000,18.401615
730585.990000,18.345182
730586.320000,18.301988
730586.650000,18.206380
730586.980000,18.129076
730587.310000,18.067907
730587.640000,18.006086
730587.970000,17.968814
730588.300000,17.915523
730588.630000,17.825603
730588.960000,17.765109
730589.290000,17.681993
730589.620000,17.611929
730589.950000,17.526188
