LTU014PIAEVA920', 
731556,-3.02
731557,-3.02
731558,-2.98
731559,-3.04
731560,-3.05
731561,-2.96
731562,-2.94
731563,-2.93
731564,-2.91
731565,-2.87
731566,-2.85
731567,-2.88
731568,-2.87
731569,-2.92
731570,-2.89
731571,-2.83
731572,-2.82
731573,-2.83
731574,-2.83
731575,-2.83
731576,-2.83
731577,-2.84
731578,-2.84
731579,-2.82
731580,-2.83
731581,-2.86
731582,-2.82
731583,-2.82
731584,-2.87
731585,-2.9
731586,-2.88
731587,-2.88
731588,-2.86
731589,-2.86
731590,-2.89
731591,-3
731592,-3.08
731593,-3.09
731594,-3.05
731595,-3.09
731596,-3.14
731597,-3.19
731598,-3.21
731599,-3.31
731600,-3.35
731601,-3.29
731602,-3.27
731603,-3.33
731604,-3.37
731605,-3.39
731606,-3.39
731607,-3.39
731608,-3.39
731609,-3.4
731610,-3.44
731611,-3.4
731612,-3.38
731613,-3.3
731614,-3.23
731615,-3.17
731616,-3.13
731617,-3.11
731618,-3.17
731619,-3.2
731620,-3.22
731621,-3.17
731622,-3.19
731623,-3.17
731624,-3.21
731625,-3.25
731626,-3.33
731627,-3.37
731628,-3.42
731629,-3.44
731630,-3.41
731631,-3.31
731632,-3.22
731633,-3.14
731634,-3.15
731635,-3.17
731636,-3.17
731637,-3.2
731638,-3.26
731639,-3.28
731640,-3.26
731641,-3.21
731642,-3.17
731643,-3.19
731644,-3.26
731645,-3.27
731646,-3.24
731647,-3.26
731648,-3.21
731649,-3.17
731650,-3.19
731651,-3.19
731652,-3.16
731653,-3.14
731654,-3.19
731655,-3.16
731656,-3.13
731657,-3.1
731658,-3.06
731659,-3.05
731660,-3.08
731661,-3.08
731662,-3.06
731663,-3.05
731664,-3.05
731665,-3.06
731666,-3.07
731667,-3.07
731668,-3.09
731669,-3.09
731670,-3.11
731671,-3.12
731672,-3.15
731673,-3.15
731674,-3.16
731675,-3.17
731676,-3.19
731677,-3.22
731678,-3.23
731679,-3.24
731680,-3.25
731681,-3.27
731682,-3.28
731683,-3.33
731684,-3.34
731685,-3.37
731686,-3.37
731687,-3.37
731688,-3.39
731689,-3.4
731690,-3.39
731691,-3.41
731692,-3.42
731693,-3.42
731694,-3.45
731695,-3.45
731696,-3.46
731697,-3.47
731698,-3.47
731699,-3.47
731700,-3.5
731701,-3.54
731702,-3.56
731703,-3.56
731704,-3.59
731705,-3.59
731706,-3.68
731707,-3.72
731708,-3.72
731709,-3.75
731710,-3.75
731711,-3.75
731712,-3.81
731713,-3.9
731714,-3.92
731715,-3.91
731716,-3.92
731717,-3.97
731718,-4.08
731719,-4.16
731720,-4.27
731721,-4.38
731722,-4.47
731723,-4.5
731724,-4.49
731725,-4.49
731726,-4.51
731727,-4.51
731728,-4.5
731729,-4.55
731730,-4.57
731731,-4.62
731732,-4.63
731733,-4.62
731734,-4.62
731735,-4.62
731736,-4.66
731737,-4.68
731738,-4.73
731739,-4.8
731740,-4.85
731741,-4.89
731742,-4.91
731743,-4.92
731744,-4.95
731745,-4.96
731746,-5.01
731747,-5.02
731748,-5.03
731749,-5.03
731750,-5.09
731751,-5.08
731752,-5.11
731753,-5.14
731754,-5.21
731755,-5.29
731756,-5.39
731757,-5.51
731758,-5.6
731759,-5.67
731760,-5.73
731761,-5.76
731762,-5.77
731763,-5.78
731764,-5.79
731765,-5.82
731766,-5.75
731767,-5.77
731768,-5.78
731769,-5.82
731770,-5.83
731771,-5.85
731772,-5.88
731773,-5.89
731774,-5.92
731775,-5.89
731776,-5.88
731777,-5.85
731778,-5.88
731779,-5.89
731780,-5.9
731781,-5.91
731782,-5.9
731783,-5.9
731784,-5.89
731785,-5.89
731786,-5.9
731787,-5.9
731788,-5.9
731789,-5.92
731790,-5.94
731791,-5.94
731792,-5.94
731793,-5.94
731794,-5.94
731795,-5.97
731796,-6
731797,-6.03
731798,-6.05
731799,-6.06
731800,-6.06
731801,-6.06
731802,-6.08
731803,-6.12
731804,-6.14
731805,-6.13
731806,-6.16
731807,-6.17
731808,-6.18
731809,-6.22
731810,-6.24
731811,-6.25
731812,-6.27
731813,-6.27
731814,-6.28
731815,-6.29
731816,-6.33
731817,-6.39
731818,-6.34
731819,-6.32
731820,-6.29
731821,-6.3
731822,-6.32
731823,-6.29
731824,-6.28
731825,-6.26
731826,-6.27
731827,-6.25
731828,-6.2
731829,-6.23
731830,-6.23
731831,-6.19
731832,-6.21
731833,-6.23
731834,-6.2
731835,-6.18
731836,-6.17
731837,-6.19
731838,-6.2
731839,-6.19
731840,-6.2
731841,-6.23
731842,-6.21
731843,-6.22
731844,-6.19
731845,-6.19
731846,-6.2
731847,-6.19
731848,-6.2
731849,-6.17
731850,-6.17
731851,-6.13
731852,-6.06
731853,-6.09
731854,-6.08
731855,-6.07
731856,-6.02
731857,-6.01
731858,-5.91
731859,-5.88
731860,-5.84
731861,-5.84
731862,-5.77
731863,-5.67
731864,-5.69
731865,-5.67
731866,-5.68
731867,-5.68
731868,-5.7
731869,-5.68
731870,-5.68
731871,-5.66
731872,-5.59
731873,-5.55
731874,-5.49
731875,-5.45
731876,-5.36
731877,-5.31
731878,-5.25
731879,-5.22
731880,-5.16
731881,-5.1
731882,-5.1
731883,-5.05
731884,-5
731885,-4.97
731886,-4.94
731887,-4.93
731888,-4.9
731889,-4.85
731890,-4.82
731891,-4.74
731892,-4.71
731893,-4.67
731894,-4.67
731895,-4.59
731896,-4.55
731897,-4.53
731898,-4.5
731899,-4.48
731900,-4.46
731901,-4.42
731902,-4.35
731903,-4.34
731904,-4.28
731905,-4.28
731906,-4.31
731907,-4.3
731908,-4.3
731909,-4.27
731910,-4.26
731911,-4.27
731912,-4.25
731913,-4.23
731914,-4.22
731915,-4.22
731916,-4.19
731917,-4.16
731918.375,-4.73
731919,-4.11
731920,-4.1
731921,-4.09
731922,-4.13
731923,-4.06
731924,-4.02
731925,-4.01
