'LTU016PIAPE910',2003-01-08-00:00:00'
731589,0.2
731590,0.2
731591,0.15
731592,0.13
731593,0.09
731594,0.11
731595,0.09
731596,0.07
731597,0.04
731598,0.01
731599,-0.01
731600,-0.04
731601,-0.02
731602,-0.01
731603,-0.02
731604,-0.04
731605,-0.06
731606,-0.06
731607,-0.08
731608,-0.04
731609,-0.06
731610,-0.08
731611,-0.07
731612,-0.07
731613,-0.05
731614,0.01
731615,0.06
731616,0.09
731617,0.11
731618,0.11
731619,0.1
731620,0.07
731621,0.08
731622,0.1
731623,0.1
731624,0.08
731625,0.05
731626,0.01
731627,-0.02
731628,-0.04
731629,-0.05
731630,-0.05
731631,-0.04
731632,0.01
731633,0.05
731634,0.09
731635,0.1
731636,0.11
731637,0.1
731638,0.09
731639,0.08
731640,0.06
731641,0.06
731642,0.09
731643,0.1
731644,0.07
731645,0.05
731646,0.06
731647,0.06
731648,0.08
731649,0.1
731650,0.11
731651,0.11
731652,0.12
731653,0.16
731654,0.15
731655,0.16
731656,0.18
731657,0.22
731658,0.28
731659,0.27
731660,0.3
731661,0.34
731662,0.38
731663,0.43
731664,0.48
731665,0.52
731666,0.53
731667,0.56
731668,0.56
731669,0.58
731670,0.62
731671,0.6
731672,0.56
731673,0.56
731674,0.59
731675,0.57
731676,0.56
731677,0.54
731678,0.55
731679,0.55
731680,0.57
731681,0.6
731682,0.64
731683,0.72
731684,0.74
731685,0.74
731686,0.74
731687,0.74
731688,0.72
731689,0.69
731690,0.7
731691,0.74
731692,0.79
731693,0.83
731694,0.87
731695,0.85
731696,0.83
731697,0.83
731698,0.81
731699,0.89
731700,0.95
731701,1
731702,1.02
731703,1.01
731704,1.02
731705,1.04
731706,1.14
731707,1.23
731708,1.23
731709,1.25
731710,1.28
731711,1.3
731712,1.35
731713,1.4
731714,1.41
731715,1.41
731716,1.44
731717,1.51
731718,1.58
731719,1.65
731720,1.73
731721,1.82
731722,1.91
731723,1.88
731724,1.88
731725,1.92
731726,1.92
731727,1.93
731728,1.96
731729,2.03
731730,2.11
731731,2.14
731732,2.16
731733,2.17
731734,2.18
731735,2.21
731736,2.24
731737,2.32
731738,2.36
731739,2.41
731740,2.45
731741,2.49
731742,2.5
731743,2.55
731744,2.52
731745,2.56
731746,2.6
731747,2.6
731748,2.58
731749,2.61
731750,2.81
731751,2.64
731752,2.68
731753,2.73
731754,2.79
731755,2.86
731756,2.92
731757,2.99
731758,3.04
731759,3.1
731760,3.13
731761,3.14
731762,3.15
731763,3.15
731764,3.13
731765,3.09
731766,3.12
731767,3.12
731768,3.17
731769,3.2
731770,3.21
731771,3.24
731772,3.24
731773,3.24
731774,3.2
731775,3.17
731776,3.17
731777,3.2
731778,3.24
731779,3.23
731780,3.24
731781,3.23
731782,3.22
731783,3.19
731784,3.18
731785,3.19
731786,3.19
731787,3.2
731788,3.23
731789,3.19
731790,3.19
731791,3.19
731792,3.18
731793,3.19
731794,3.21
731795,3.24
731796,3.25
731797,3.28
731798,3.26
731799,3.29
731800,3.26
731801,3.27
731802,3.27
731803,3.28
731804,3.26
731805,3.3
731806,3.31
731807,3.31
731808,3.33
731809,3.34
731810,3.33
731811,3.33
731812,3.33
731813,3.34
731814,3.37
731815,3.39
731816,3.39
731817,3.32
731818,3.27
731819,3.23
731820,3.22
731821,3.2
731822,3.17
731823,3.12
731824,3.11
731825,3.1
731826,3.08
731827,3.06
731828,3.06
731829,3.06
731830,3.05
731831,3.06
731832,3.05
731833,3.01
731834,2.99
731835,3
731836,3.01
731837,3.01
731838,3.01
731839,3.02
731840,3.04
