LTU017PIAPRG300',2009-12-07-16:00:00'
734114.666666667 , -18.5
734114.708333333 , -18.5
734114.75 , -18.49
734114.791666667 , -18.48
734114.833333333 , -18.48
734114.875 , -18.45
734114.916666667 , -18.45
734114.958333333 , -18.44
734115 , -18.44
734115.041666667 , -18.43
734115.083333333 , -18.43
734115.125 , -18.43
734115.166666667 , -18.41
734115.208333333 , -18.4
734115.25 , -18.4
734115.291666667 , -18.39
734115.333333333 , -18.39
734115.375 , -18.38
734115.416666667 , -18.38
734115.458333333 , -18.38
734115.5 , -18.38
734115.541666667 , -18.37
734115.583333333 , -18.38
734115.625 , -18.38
734115.666666667 , -18.38
734115.708333333 , -18.38
734115.75 , -18.39
734115.791666667 , -18.39
734115.833333333 , -18.39
734115.875 , -18.38
734115.916666667 , -18.38
734115.958333333 , -18.38
734116 , -18.38
734116.041666667 , -18.37
734116.083333333 , -18.37
734116.125 , -18.37
734116.166666667 , -18.37
734116.208333333 , -18.37
734116.25 , -18.37
734116.291666667 , -18.37
734116.333333333 , -18.35
734116.375 , -18.35
734116.416666667 , -18.35
734116.458333333 , -18.35
734116.5 , -18.35
734116.541666667 , -18.35
734116.583333333 , -18.35
734116.625 , -18.35
734116.666666667 , -18.35
734116.708333333 , -18.34
734116.75 , -18.34
734116.791666667 , -18.34
734116.833333333 , -18.34
734116.875 , -18.33
734116.916666667 , -18.33
734116.958333333 , -18.33
734117 , -18.32
734117.041666667 , -18.32
734117.083333333 , -18.3
734117.125 , -18.3
734117.166666667 , -18.29
734117.208333333 , -18.29
734117.25 , -18.28
734117.291666667 , -18.28
734117.333333333 , -18.27
734117.375 , -18.27
734117.416666667 , -18.25
734117.458333333 , -18.25
734117.5 , -18.25
734117.541666667 , -18.25
734117.583333333 , -18.25
734117.625 , -18.25
734117.666666667 , -18.25
734117.708333333 , -18.25
734117.75 , -18.25
734117.791666667 , -18.24
734117.833333333 , -18.24
734117.875 , -18.23
734117.916666667 , -18.23
734117.958333333 , -18.22
734118 , -18.2
734118.041666667 , -18.2
734118.083333333 , -18.19
734118.125 , -18.19
734118.166666667 , -18.18
734118.208333333 , -18.18
734118.25 , -18.17
734118.291666667 , -18.17
734118.333333333 , -18.15
734118.375 , -18.15
734118.416666667 , -18.15
734118.458333333 , -18.14
734118.5 , -18.15
734118.541666667 , -18.15
734118.583333333 , -18.17
734118.625 , -18.17
734118.666666667 , -18.18
734118.708333333 , -18.17
734118.75 , -18.17
734118.791666667 , -18.15
734118.833333333 , -18.15
734118.875 , -18.15
734118.916666667 , -18.14
734118.958333333 , -18.14
734119 , -18.14
734119.041666667 , -18.14
734119.083333333 , -18.13
734119.125 , -18.13
734119.166666667 , -18.13
734119.208333333 , -18.13
734119.25 , -18.13
734119.291666667 , -18.12
734119.333333333 , -18.12
734119.375 , -18.12
734119.416666667 , -18.12
734119.458333333 , -18.12
734119.5 , -18.12
734119.541666667 , -18.12
734119.583333333 , -18.12
734119.625 , -18.12
734119.666666667 , -18.12
734119.708333333 , -18.12
734119.75 , -18.12
734119.791666667 , -18.12
