'LTU037THAPRG900',2010-07-15-23:00:00'
734334.9583,20.8
734335,21
734335.0417,NaN
734335.0833,NaN
734335.125,NaN
734335.1667,NaN
734335.2083,NaN
734335.25,NaN
734335.2917,NaN
734335.3333,NaN
734335.375,20.77
734335.4167,20.9
734335.4583,20.96
734335.5,20.96
734335.5417,21.01
734335.5833,20.94
734335.625,21.12
734335.6667,21.33
734335.7083,21.19
734335.75,21.39
734335.7917,21.01
734335.8333,21.32
734335.875,21.04
734335.9167,21.27
734335.9583,21.2
734336,21.31
734336.0417,21.31
734336.0833,21.28
734336.125,21.37
734336.1667,21.33
734336.2083,21.32
734336.25,21.33
734336.2917,21.36
734336.3333,21.37
734336.375,21.55
734336.4167,21.44
734336.4583,21.68
734336.5,21.75
734336.5417,21.36
734336.5833,21.44
734336.625,21.48
734336.6667,21.49
734336.7083,21.57
734336.75,21.44
734336.7917,21.44
734336.8333,21.33
734336.875,21.41
734336.9167,21.41
734336.9583,21.45
734337,21.47
734337.0417,21.52
734337.0833,21.52
734337.125,21.63
734337.1667,21.59
734337.2083,21.68
734337.25,21.64
734337.2917,21.6
734337.3333,21.6
734337.375,21.63
734337.4167,21.65
734337.4583,21.6
734337.5,21.64
734337.5417,21.82
734337.5833,21.73
734337.625,21.73
734337.6667,21.67
734337.7083,21.65
734337.75,21.59
734337.7917,21.53
734337.8333,21.52
734337.875,21.49
734337.9167,21.45
734337.9583,21.39
734338,21.31
734338.0417,21.31
734338.0833,21.27
734338.125,21.23
734338.1667,21.21
734338.2083,21.22
734338.25,21.22
734338.2917,21.23
734338.3333,21.25
734338.375,21.33
734338.4167,21.36
734338.4583,21.52
734338.5,21.35
734338.5417,21.4
734338.5833,21.6
734338.625,21.45
734338.6667,21.37
734338.7083,21.6
734338.75,21.69
734338.7917,21.75
734338.8333,21.95
734338.875,22.08
734338.9167,21.9
734338.9583,21.57
734339,21.23
734339.0417,21.4
734339.0833,21.32
734339.125,21.35
734339.1667,21.28
734339.2083,21.26
734339.25,21.25
734339.2917,21.22
734339.3333,21.23
734339.375,21.26
734339.4167,21.35
734339.4583,21.46
734339.5,21.57
734339.5417,21.64
734339.5833,21.75
734339.625,22.02
734339.6667,22.31
734339.7083,22.19
734339.75,22.61
734339.7917,21.9
734339.8333,22.7
734339.875,22.68
734339.9167,22.65
734339.9583,22.41
734340,21.72
734340.0417,NaN
734340.0833,NaN
734340.125,NaN
734340.1667,NaN
734340.2083,NaN
734340.25,NaN
734340.2917,NaN
734340.3333,NaN
734340.375,NaN
734340.4167,NaN
734340.4583,NaN
734340.5,21.62
734340.5417,NaN
734340.5833,NaN
734340.625,NaN
734340.6667,NaN
734340.7083,NaN
734340.75,NaN
734340.7917,NaN
734340.8333,NaN
734340.875,NaN
734340.9167,NaN
734340.9583,NaN
734341,21.17
734341.0417,NaN
734341.0833,NaN
734341.125,NaN
734341.1667,NaN
734341.2083,NaN
734341.25,NaN
734341.2917,NaN
734341.3333,NaN
734341.375,NaN
734341.4167,NaN
734341.4583,NaN
734341.5,21.78
734341.5417,NaN
734341.5833,NaN
734341.625,NaN
734341.6667,NaN
734341.7083,NaN
734341.75,NaN
734341.7917,NaN
734341.8333,NaN
734341.875,NaN
734341.9167,NaN
734341.9583,NaN
734342,21.9
734342.0417,NaN
734342.0833,NaN
734342.125,NaN
734342.1667,NaN
734342.2083,NaN
734342.25,NaN
734342.2917,NaN
734342.3333,NaN
734342.375,NaN
734342.4167,NaN
734342.4583,NaN
734342.5,21.86
734342.5417,NaN
734342.5833,NaN
734342.625,NaN
734342.6667,NaN
734342.7083,NaN
734342.75,NaN
734342.7917,NaN
734342.8333,NaN
734342.875,NaN
734342.9167,NaN
734342.9583,NaN
734343,21.71
734343.0417,NaN
734343.0833,NaN
734343.125,NaN
734343.1667,NaN
734343.2083,NaN
734343.25,NaN
734343.2917,NaN
734343.3333,NaN
734343.375,NaN
734343.4167,NaN
734343.4583,NaN
734343.5,21.92
734343.5417,NaN
734343.5833,NaN
734343.625,NaN
734343.6667,NaN
734343.7083,NaN
734343.75,NaN
734343.7917,NaN
734343.8333,NaN
734343.875,NaN
734343.9167,NaN
734343.9583,NaN
734344,21.72
734344.0417,NaN
734344.0833,NaN
734344.125,NaN
734344.1667,NaN
734344.2083,NaN
734344.25,NaN
734344.2917,NaN
734344.3333,NaN
734344.375,NaN
734344.4167,NaN
734344.4583,NaN
734344.5,21.81
734344.5417,NaN
734344.5833,NaN
734344.625,NaN
734344.6667,NaN
734344.7083,NaN
734344.75,NaN
734344.7917,NaN
734344.8333,NaN
734344.875,NaN
734344.9167,NaN
734344.9583,NaN
734345,21.97
734345.0417,NaN
734345.0833,NaN
734345.125,NaN
734345.1667,NaN
734345.2083,NaN
734345.25,NaN
734345.2917,NaN
734345.3333,NaN
734345.375,NaN
734345.4167,NaN
734345.4583,NaN
734345.5,21.86
734345.5417,NaN
734345.5833,NaN
734345.625,NaN
734345.6667,NaN
734345.7083,NaN
734345.75,NaN
734345.7917,NaN
734345.8333,NaN
734345.875,NaN
734345.9167,NaN
734345.9583,NaN
734346,21.88
734346.0417,NaN
734346.0833,NaN
734346.125,NaN
734346.1667,NaN
734346.2083,NaN
734346.25,NaN
734346.2917,NaN
734346.3333,NaN
734346.375,NaN
734346.4167,NaN
734346.4583,NaN
734346.5,21.62
734346.5417,NaN
734346.5833,NaN
734346.625,NaN
734346.6667,NaN
734346.7083,NaN
734346.75,NaN
734346.7917,NaN
734346.8333,NaN
734346.875,NaN
734346.9167,NaN
734346.9583,NaN
734347,21.82
734347.0417,NaN
734347.0833,NaN
734347.125,NaN
734347.1667,NaN
734347.2083,NaN
734347.25,NaN
734347.2917,NaN
734347.3333,NaN
734347.375,NaN
734347.4167,NaN
734347.4583,NaN
734347.5,22.05
734347.5417,NaN
734347.5833,NaN
734347.625,NaN
734347.6667,NaN
734347.7083,NaN
734347.75,NaN
734347.7917,NaN
734347.8333,NaN
734347.875,NaN
734347.9167,NaN
734347.9583,NaN
734348,21.8
734348.0417,NaN
734348.0833,NaN
734348.125,NaN
734348.1667,NaN
734348.2083,NaN
734348.25,NaN
734348.2917,NaN
734348.3333,NaN
734348.375,NaN
734348.4167,NaN
734348.4583,NaN
734348.5,21.81
734348.5417,NaN
734348.5833,NaN
734348.625,NaN
734348.6667,NaN
734348.7083,NaN
734348.75,NaN
734348.7917,NaN
734348.8333,NaN
734348.875,NaN
734348.9167,NaN
734348.9583,NaN
734349,21.51
734349.0417,NaN
734349.0833,NaN
734349.125,NaN
734349.1667,NaN
734349.2083,NaN
734349.25,NaN
734349.2917,NaN
734349.3333,NaN
734349.375,NaN
734349.4167,NaN
734349.4583,NaN
734349.5,21.26
734349.5417,NaN
734349.5833,NaN
734349.625,NaN
734349.6667,NaN
734349.7083,NaN
734349.75,NaN
734349.7917,NaN
734349.8333,NaN
734349.875,NaN
734349.9167,NaN
734349.9583,NaN
734350,21.31
734350.0417,NaN
734350.0833,NaN
734350.125,NaN
734350.1667,NaN
734350.2083,NaN
734350.25,NaN
734350.2917,NaN
734350.3333,NaN
734350.375,NaN
734350.4167,NaN
734350.4583,NaN
734350.5,21.02
734350.5417,NaN
734350.5833,NaN
734350.625,NaN
734350.6667,NaN
734350.7083,NaN
734350.75,NaN
734350.7917,NaN
734350.8333,NaN
734350.875,NaN
734350.9167,NaN
734350.9583,NaN
734351,21.08
734351.0417,NaN
734351.0833,NaN
734351.125,NaN
734351.1667,NaN
734351.2083,NaN
734351.25,NaN
734351.2917,NaN
734351.3333,NaN
734351.375,NaN
734351.4167,NaN
734351.4583,NaN
734351.5,21.46
734351.5417,NaN
734351.5833,NaN
734351.625,NaN
734351.6667,NaN
734351.7083,NaN
734351.75,NaN
734351.7917,NaN
734351.8333,NaN
734351.875,NaN
734351.9167,NaN
734351.9583,NaN
734352,21.19
734352.0417,NaN
734352.0833,NaN
734352.125,NaN
734352.1667,NaN
734352.2083,NaN
734352.25,NaN
734352.2917,NaN
734352.3333,NaN
734352.375,NaN
734352.4167,NaN
734352.4583,NaN
734352.5,21.72
734352.5417,NaN
734352.5833,NaN
734352.625,NaN
734352.6667,NaN
734352.7083,NaN
734352.75,NaN
734352.7917,NaN
734352.8333,NaN
734352.875,NaN
734352.9167,NaN
734352.9583,NaN
734353,21.02
734353.0417,NaN
734353.0833,NaN
734353.125,NaN
734353.1667,NaN
734353.2083,NaN
734353.25,NaN
734353.2917,NaN
734353.3333,NaN
734353.375,NaN
734353.4167,NaN
734353.4583,NaN
734353.5,21.54
734353.5417,NaN
734353.5833,NaN
734353.625,NaN
734353.6667,NaN
734353.7083,NaN
734353.75,NaN
734353.7917,NaN
734353.8333,NaN
734353.875,NaN
734353.9167,NaN
734353.9583,NaN
734354,21.43
734354.0417,NaN
734354.0833,NaN
734354.125,NaN
734354.1667,NaN
734354.2083,NaN
734354.25,NaN
734354.2917,NaN
734354.3333,NaN
734354.375,NaN
734354.4167,NaN
734354.4583,NaN
734354.5,21.73
734354.5417,NaN
734354.5833,NaN
734354.625,NaN
734354.6667,NaN
734354.7083,NaN
734354.75,NaN
734354.7917,NaN
734354.8333,NaN
734354.875,NaN
734354.9167,NaN
734354.9583,NaN
734355,21.49
734355.0417,NaN
734355.0833,NaN
734355.125,NaN
734355.1667,NaN
734355.2083,NaN
734355.25,NaN
734355.2917,NaN
734355.3333,NaN
734355.375,NaN
734355.4167,NaN
734355.4583,NaN
734355.5,22.16
734355.5417,NaN
734355.5833,NaN
734355.625,NaN
734355.6667,NaN
734355.7083,NaN
734355.75,NaN
734355.7917,NaN
734355.8333,NaN
734355.875,NaN
734355.9167,NaN
734355.9583,NaN
734356,21.91
734356.0417,NaN
734356.0833,NaN
734356.125,NaN
734356.1667,NaN
734356.2083,NaN
734356.25,NaN
734356.2917,NaN
734356.3333,NaN
734356.375,NaN
734356.4167,NaN
734356.4583,NaN
734356.5,21.97
734356.5417,NaN
734356.5833,NaN
734356.625,NaN
734356.6667,NaN
734356.7083,NaN
734356.75,NaN
734356.7917,NaN
734356.8333,NaN
734356.875,NaN
734356.9167,NaN
734356.9583,NaN
734357,21.73
734357.0417,NaN
734357.0833,NaN
734357.125,NaN
734357.1667,NaN
734357.2083,NaN
734357.25,NaN
734357.2917,NaN
734357.3333,NaN
734357.375,NaN
734357.4167,NaN
734357.4583,NaN
734357.5,21.25
734357.5417,NaN
734357.5833,NaN
734357.625,NaN
734357.6667,NaN
734357.7083,NaN
734357.75,NaN
734357.7917,NaN
734357.8333,NaN
734357.875,NaN
734357.9167,NaN
734357.9583,NaN
734358,21.15
734358.0417,NaN
734358.0833,NaN
734358.125,NaN
734358.1667,NaN
734358.2083,NaN
734358.25,NaN
734358.2917,NaN
734358.3333,NaN
734358.375,NaN
734358.4167,NaN
734358.4583,NaN
734358.5,20.87
734358.5417,NaN
734358.5833,NaN
734358.625,NaN
734358.6667,NaN
734358.7083,NaN
734358.75,NaN
734358.7917,NaN
734358.8333,NaN
734358.875,NaN
734358.9167,NaN
734358.9583,NaN
734359,20.91
734359.0417,NaN
734359.0833,NaN
734359.125,NaN
734359.1667,NaN
734359.2083,NaN
734359.25,NaN
734359.2917,NaN
734359.3333,NaN
734359.375,NaN
734359.4167,NaN
734359.4583,NaN
734359.5,21.18
734359.5417,NaN
734359.5833,NaN
734359.625,NaN
734359.6667,NaN
734359.7083,NaN
734359.75,NaN
734359.7917,NaN
734359.8333,NaN
734359.875,NaN
734359.9167,NaN
734359.9583,NaN
734360,21.44
734360.0417,NaN
734360.0833,NaN
734360.125,NaN
734360.1667,NaN
734360.2083,NaN
734360.25,NaN
734360.2917,NaN
734360.3333,NaN
734360.375,NaN
734360.4167,NaN
734360.4583,NaN
734360.5,21.63
734360.5417,NaN
734360.5833,NaN
734360.625,NaN
734360.6667,NaN
734360.7083,NaN
734360.75,NaN
734360.7917,NaN
734360.8333,NaN
734360.875,NaN
734360.9167,NaN
734360.9583,NaN
734361,21.53
734361.0417,NaN
734361.0833,NaN
734361.125,NaN
734361.1667,NaN
734361.2083,NaN
734361.25,NaN
734361.2917,NaN
734361.3333,NaN
734361.375,NaN
734361.4167,NaN
734361.4583,NaN
734361.5,21.35
734361.5417,NaN
734361.5833,NaN
734361.625,NaN
734361.6667,NaN
734361.7083,NaN
734361.75,NaN
734361.7917,NaN
734361.8333,NaN
734361.875,NaN
734361.9167,NaN
734361.9583,NaN
734362,21.77
734362.0417,NaN
734362.0833,NaN
734362.125,NaN
734362.1667,NaN
734362.2083,NaN
734362.25,NaN
734362.2917,NaN
734362.3333,NaN
734362.375,NaN
734362.4167,NaN
734362.4583,NaN
734362.5,21.11
734362.5417,NaN
734362.5833,NaN
734362.625,NaN
734362.6667,NaN
734362.7083,NaN
734362.75,NaN
734362.7917,NaN
734362.8333,NaN
734362.875,NaN
734362.9167,NaN
734362.9583,NaN
734363,21.78
734363.0417,NaN
