'CLASS01',2007-08-22-00:00:00'
733276,2.249999998
733276.0208,2.000000001
733276.0417,0.999999999
733276.0625,0.375000001
733276.0833,0.125000001
733276.1042,0
733276.125,0
733276.1458,0.374999999
733276.1667,1.125000001
733276.1875,1.5
733276.2083,1.5
733276.2292,7.499999983
733276.25,19.49999995
733276.2708,29.62499999
733276.2917,37.87500001
733276.3125,36.50000003
733276.3333,25.50000003
733276.3542,16.12500001
733276.375,8.375000032
733276.3958,4.749999999
733276.4167,5.250000001
733276.4375,7.124999991
733276.4583,10.37499999
733276.4792,11.25
733276.5,9.750000006
733276.5208,9.125
733276.5417,9.375
733276.5625,10.375
733276.5833,12.125
733276.6042,13.125
733276.625,13.375
733276.6458,13.875
733276.6667,14.625
733276.6875,16.99999999
733276.7083,20.99999999
733276.7292,23.375
733276.75,24.125
733276.7708,21.50000001
733276.7917,15.49999999
733276.8125,11.12500001
733276.8333,8.375000008
733276.8542,7.125
733276.875,7.374999999
733276.8958,6.625000002
733276.9167,4.874999998
733276.9375,3.625000002
733276.9583,2.875000002
733276.9792,2.125000001
733277,1.375000003
733277.0208,0.875
733277.0417,0.625
733277.0625,0.375000001
733277.0833,0.125000001
733277.1042,0
733277.125,0
733277.1458,0.125
733277.1667,0.375
733277.1875,0.874999998
733277.2083,1.624999998
733277.2292,8.124999983
733277.25,20.37499995
733277.2708,30.49999999
733277.2917,38.50000001
733277.3125,38.00000003
733277.3333,29.00000003
733277.3542,21.00000001
733277.375,14.00000003
733277.3958,9.750000002
733277.4167,8.249999998
733277.4375,7.999999997
733277.4583,8.999999997
733277.4792,9.5
733277.5,9.5
733277.5208,10.5
733277.5417,12.5
733277.5625,12.75
733277.5833,11.25
733277.6042,10.375
733277.625,10.125
733277.6458,9.875
733277.6667,9.625
733277.6875,13.12499998
733277.7083,20.37499998
733277.7292,20.37500001
733277.75,13.12500003
733277.7708,10.25
733277.7917,11.75
733277.8125,11.12500001
733277.8333,8.375000008
733277.8542,6.250000002
733277.875,4.750000006
733277.8958,4.374999999
733277.9167,5.125000001
733277.9375,4.625000005
733277.9583,2.875000005
733277.9792,1.750000001
733278,1.250000002
733278.0208,0.750000001
733278.0417,0.249999999
733278.0625,0
733278.0833,0
733278.1042,0.249999999
733278.125,0.749999998
733278.1458,1.125
733278.1667,1.375
733278.1875,1.749999999
733278.2083,2.249999999
733278.2292,8.374999984
733278.25,20.12499995
733278.2708,28.37499999
733278.2917,33.12500001
733278.3125,32.37500002
733278.3333,26.12500002
733278.3542,18.87500001
733278.375,10.62500003
733278.3958,6.375
733278.4167,6.125
733278.4375,7.624999991
733278.4583,10.87499999
733278.4792,11.125
733278.5,8.375000012
733278.5208,9.124999994
733278.5417,13.37500001
733278.5625,15.875
733278.5833,16.625
733278.6042,16.75
733278.625,16.25
733278.6458,16.125
733278.6667,16.375
733278.6875,17.25
733278.7083,18.75
733278.7292,18.375
733278.75,16.12500001
733278.7708,14.125
733278.7917,12.375
733278.8125,10.625
733278.8333,8.875000005
733278.8542,6.875000003
733278.875,4.625000009
733278.8958,3.5
733278.9167,3.5
733278.9375,3.375000001
733278.9583,3.125000001
733278.9792,2.625000001
733279,1.875000003
733279.0208,1.125000001
733279.0417,0.374999999
733279.0625,0.124999999
733279.0833,0.374999999
733279.1042,0.5
733279.125,0.5
733279.1458,0.5
733279.1667,0.5
733279.1875,0.874999998
733279.2083,1.624999998
733279.2292,3.874999995
733279.25,7.624999984
733279.2708,9.999999999
733279.2917,11
733279.3125,10.625
733279.3333,8.875000005
733279.3542,8.749999998
733279.375,10.24999999
733279.3958,11.5
733279.4167,12.5
733279.4375,14.49999999
733279.4583,17.49999999
733279.4792,18.625
733279.5,17.875
733279.5208,16
733279.5417,13
733279.5625,12.87499999
733279.5833,15.62499999
733279.6042,15.375
733279.625,12.12500001
733279.6458,13.24999999
733279.6667,18.75000001
733279.6875,18.75000002
733279.7083,13.25000002
733279.7292,9.750000002
733279.75,8.250000006
733279.7708,8.374999998
733279.7917,10.125
733279.8125,9.25000001
733279.8333,5.75000001
733279.8542,4.125
733279.875,4.374999999
733279.8958,4.874999999
733279.9167,5.625000001
733279.9375,4.875000006
733279.9583,2.625000006
733279.9792,1.250000001
733280,0.750000002
733280.0208,0.375
733280.0417,0.125
733280.0625,0.374999998
733280.0833,1.124999998
733280.1042,1.375
733280.125,1.125000001
733280.1458,0.750000001
733280.1667,0.249999999
733280.1875,0.499999997
733280.2083,1.499999997
733280.2292,2.125
733280.25,2.374999999
733280.2708,2.874999999
733280.2917,3.625000001
733280.3125,4.624999997
733280.3333,5.874999997
733280.3542,7.749999997
733280.375,10.24999999
733280.3958,13.37499999
733280.4167,17.12500001
733280.4375,19.125
733280.4583,19.375
733280.4792,27.12499998
733280.5,42.37499994
733280.5208,40.25000003
733280.5417,20.74999997
733280.5625,12.12499999
733280.5833,14.37499999
733280.6042,14.875
733280.625,13.62500001
733280.6458,13.875
733280.6667,15.625
733280.6875,15.75
733280.7083,14.25
733280.7292,14.125
733280.75,15.37499999
733280.7708,14.625
