'CDOO1',2018-12-28-00:00:00'
737422,0.305720715
737423,0.311094693
737424,0.548349142
737425,0.523444237
737426,0.934195539
737427,-0.296401364
737428,0.643774174
737429,1.68322391
737430,-0.743310804
737431,0.144789367
737432,0.438995702
737433,1.887658043
737434,-1.243171764
737435,1.360220226
737436,0.196668883
737437,-0.673409041
737438,-0.766920386
737439,-0.603560595
737440,-1.177362084
737441,-0.331013276
737442,-0.672916838
737443,1.597562888
737444,1.192508854
737445,0.000303179
737446,0.205464992
737447,0.454732811
737448,1.063899932
737449,0.822649386
737450,-2.680965886
737451,-1.315932649
737452,-0.522242072
737453,0.889111662
737454,1.043270449
737455,-0.746245315
737456,0.331379517
737457,-0.294275928
737458,0.361864623
737459,1.227056145
737460,-0.430624257
737461,2.039400967
737462,-0.523434228
737463,-0.472651375
737464,0.756407919
737465,-0.543107542
737466,-1.092291349
737467,-0.534602621
737468,1.174638069
737469,-0.10765941
737470,-0.235215446
737471,0.594571373
737472,-0.671206909
737473,1.506709843
737474,-0.84466072
737475,1.342961177
737476,1.370964001
737477,-2.391391931
737478,-0.603216907
737479,0.099363094
737480,1.439172598
737481,0.391291746
737482,0.138528052
737483,-1.078797583
737484,0.243246908
737485,0.72318848
737486,1.763196674
737487,-0.541791909
737488,-0.567466367
737489,0.640765307
737490,-0.688181923
737491,0.614668407
737492,0.112956736
737493,-0.980768672
737494,-0.138639835
737495,0.396820885
737496,-0.750816804
737497,-0.05097652
737498,-1.602764526
737499,-0.258357938
737500,-1.356848141
737501,0.732487086
737502,-0.205770837
737503,1.287308217
737504,-0.879117377
737505,1.684707405
737506,-0.354470313
737507,-0.747064831
737508,-0.748821526
737509,-0.703840279
737510,-0.140581886
737511,-0.122585587
737512,-2.244711703
737513,-0.476878272
737514,-0.364510693
737515,1.737878329
737516,0.739402981
737517,-0.843939854
737518,-0.666830768
737519,2.423837336
737520,0.920930927
737521,0.970045765
737522,0.792855754
737523,-1.09461661
737524,-0.773475777
737525,0.020675074
737526,0.888611231
737527,-0.547455884
737528,-0.082405919
737529,0.443503578
737530,1.394631951
737531,1.27915633
737532,-0.526832365
737533,-0.181075327
737534,-0.686628598
737535,-0.584633432
737536,-0.288445246
737537,-0.532201946
737538,-0.992258078
737539,-0.217799264
737540,-1.301273973
737541,0.897722244
737542,-0.124790881
737543,-0.479058433
737544,1.790259793
737545,-0.360381233
737546,0.865899426
737547,-0.415323947
737548,-0.535958335
737549,-1.05111162
737550,1.310841554
737551,-0.102047591
737552,-2.079034752
737553,0.859341186
737554,-0.364987315
737555,1.759817409
737556,1.221965002
737557,-1.894358886
737558,0.808488895
737559,1.361358868
737560,-1.270855582
737561,1.385337886
737562,-0.181894661
737563,1.378848797
737564,0.11232153
737565,-1.175847595
737566,0.583546829
737567,0.294836702
737568,-0.488711899
737569,-0.285667156
737570,-1.142115333
737571,0.569980076
737572,1.590495689
737573,-0.900005698
737574,0.614614654
737575,-0.072484425
737576,-0.710313488
737577,0.328375096
737578,-1.006309279
737579,-0.782668377
737580,-0.271259481
737581,-1.40332054
737582,0.030821343
737583,0.060749275
737584,1.269659787
737585,1.881974225
737586,1.071804254
737587,-0.01524831
737588,0.161802263
737589,0.686811652
737590,0.11912326
737591,0.31950715
737592,-0.690866076
737593,-0.448274189
737594,1.171322076
737595,0.280666708
737596,-0.663491287
737597,0.376858321
737598,0.325689276
737599,0.62490061
737600,0.169246354
737601,-1.027917492
737602,-1.626240313
737603,1.15445808
737604,0.093233143
737605,-1.405121758
737606,-0.384681751
737607,-1.329683603
737608,0.703843833
737609,1.278432104
737610,-0.728695652
737611,0.13665397
737612,1.294299086
737613,0.669655174
737614,0.031069803
737615,-0.22586349
737616,0.552103223
737617,-0.114317273
737618,0.43425109
737619,-0.614165037
737620,-0.173740744
737621,1.20555071
737622,-1.628649454
737623,0.549852907
737624,-0.89531074
737625,0.220373397
737626,-0.195426036
737627,1.185269769
737628,-0.140659112
737629,0.810492018
737630,-1.200831399
737631,-0.303311157
737632,-0.679320502
737633,0.08867829
737634,-0.232503565
737635,-1.501416408
737636,-0.644621713
737637,0.567243484
737638,-0.446891717
737639,1.112517913
737640,-0.953593363
737641,0.745025142
737642,-0.86027253
737643,0.350810001
737644,-0.865484813
737645,-0.12547719
737646,0.765768759
737647,-0.380547632
737648,-0.458013167
737649,0.881590333
737650,0.749969008
737651,0.074859501
737652,-1.215506758
737653,-0.386726946
737654,0.21903476
737655,1.585924401
737656,-2.15122764
737657,1.142949296
737658,0.608176105
737659,1.728289761
737660,0.551271524
737661,-0.354859367
737662,1.187985412
737663,-0.0999394
737664,-0.977518145
737665,1.146866982
737666,0.135431055
737667,-0.266401996
737668,-0.225671487
737669,-0.885866317
737670,1.150668856
737671,-1.719409789
737672,0.698857096
