'CFOO2',2017-10-05-00:00:00'
736973,-1.886055826
736975,-1.385884446
736977,-0.483971614
736979,1.716467417
736981,0.148050946
736983,-0.814327754
736985,0.604223847
736987,0.297386236
736989,1.147537844
736991,NaN
736993,NaN
736995,NaN
736997,NaN
736999,NaN
737001,NaN
737003,NaN
737005,NaN
737007,NaN
737009,NaN
737011,NaN
737013,-1.599774151
737015,0.547916714
737017,-1.849461867
737019,-1.419626158
737021,0.344120153
737023,-0.112322765
737025,0.671105788
737027,-0.771926007
737029,0.12746225
737031,-0.094986685
737033,1.740365061
737035,-0.445246539
737037,-0.857201831
737039,0.155349274
737041,-0.072743096
737043,-1.218246264
737045,-0.191839738
737047,0.005020199
737049,1.370892543
737051,-1.265532852
737054,-1.237960768
737054.25,-2.038799664
737054.5,0.924676294
737054.75,0.65635126
737055,-1.440053435
737055.25,-0.99265351
737055.5,-0.58996524
737055.75,-0.687046142
737056,0.446580028
737056.25,0.109155408
737056.5,0.085059842
737056.75,0.982346488
737057,-1.180375624
737057.25,0.518362279
737057.5,1.898296111
737057.75,0.426440645
737058,0.916193011
737058.25,1.070211985
737058.5,1.384595434
737058.75,-1.156803523
737059,-0.150119943
737059.25,-0.831758933
737059.5,-0.62047842
737059.75,-1.80124577
737060,0.494999583
737060.25,0.16064155
737060.5,3.196088396
737060.75,0.608728033
737061,0.001847077
737061.25,-2.2416818
737061.5,0.590688351
737061.75,-1.4567124
737062,0.138831298
737062.25,0.685662488
737062.5,1.78124783
737062.75,0.263682953
737063,-1.520301218
737063.25,-0.623071784
737063.5,1.305008661
737063.75,0.100499324
737064,0.280367253
737064.25,0.629276392
737064.5,-0.987201082
737064.75,-0.586241145
737065,-0.60644078
737065.25,1.393889293
737065.5,-0.061435786
737065.75,-0.99190696
737066,-0.309745165
737066.25,0.915920463
737066.5,0.342552034
737066.75,1.145794303
737067,-0.378511774
737067.25,-2.372087701
737067.5,-0.864394564
737067.75,0.081481081
737068,-0.568102598
737068.25,1.098713567
737068.5,-1.557427508
737068.75,0.235026528
737069,-0.248516147
737069.25,-2.671891499
737069.5,1.922097106
737069.75,-1.047420282
737070,0.322451088
737070.25,0.785036452
737070.5,-0.525256672
737070.75,1.063832527
737071,0.752219053
737071.25,-0.928089481
737071.5,0.791886036
737071.75,-0.243733747
737072,-1.834348044
737072.25,0.597578553
737072.5,1.861447148
737072.75,0.494839011
737073,-0.413450129
737073.25,-1.137730768
737073.5,0.065407064
737073.75,-0.728168739
737074,-0.977903831
737074.25,-0.602163031
737074.5,-1.692822257
737074.75,-0.194605575
737075,0.259649355
737075.25,0.186449128
737075.5,0.261417059
737075.75,-1.013171947
737076,-1.199723995
737076.25,-1.269722034
737076.5,-0.324226441
737076.75,-0.733963008
737077,0.130148144
737077.25,2.396263246
737077.5,-0.975489128
737077.75,0.275091062
737078,-1.541157152
737078.25,-0.463674924
737078.5,0.529505405
737078.75,-2.110310669
737079,1.012636881
737079.25,1.159052045
737079.5,0.472801454
737079.75,-0.784792063
737080,1.326567399
737080.25,0.131340317
737080.5,-0.607350238
737080.75,-1.3267591
737081,-0.312312538
737081.25,0.254136178
737081.5,0.978649853
737081.75,-0.629837931
737082,0.42339203
737082.25,-1.057170615
737082.5,-1.184390384
737082.75,1.154234427
737083,-1.447924947
737083.25,0.890254575
737083.5,1.219660079
737083.75,-0.46499877
737084,-0.590793443
737084.25,-1.322728648
737084.5,-0.646359244
737084.75,0.766816087
737085,0.824617956
737085.25,-0.145470661
737085.5,-1.424988615
737085.75,-0.42627522
737086,-0.48221378
737086.25,-0.68719661
737086.5,-0.545754111
737086.75,1.825832047
737087,0.168400334
737087.25,-0.500880352
737087.5,2.011166573
737087.75,0.220552961
737088,2.099195288
737088.25,1.223805857
737088.5,-2.3942877
737088.75,-1.714181331
737089,-1.805399493
737089.25,-1.026327466
737089.5,0.175604174
737089.75,0.276968091
737090,1.099969037
737090.25,-0.715834676
737090.5,1.04670423
737090.75,0.15495457
737091,-0.094898361
737091.25,0.248130721
737091.5,1.101883447
737091.75,-0.328458948
737092,-0.808037475
737092.25,-0.377157764
737092.5,1.438038478
737092.75,0.713457013
737093,-1.072296742
737093.25,0.405926165
737093.5,-0.92409979
737093.75,1.543763352
737094,-1.995049144
737094.25,-1.616142471
737094.5,0.819605897
737094.75,-0.535479315
737095,0.395326222
737095.25,-0.537259009
737095.5,0.15407789
737095.75,-2.083013788
737096,-0.758148562
737096.25,0.071497774
737096.5,-1.474886669
737096.75,-0.217556714
