CT001',2019-12-13-00:00:00'
737772,0.553400424
737772.25,0.273558808
737772.5,0.701715048
737772.75,-1.74856608
737773,0.748783242
737773.25,-0.536906225
737773.5,0.763336655
737773.75,-2.377632619
737774,0.550534646
737774.25,-2.158391693
737774.5,-0.305946627
737774.75,0.852512311
737775,0.756126996
737775.25,-0.473129477
737775.5,0.618948758
737775.75,-0.633524635
737776,-0.129558185
737776.25,0.487706046
737776.5,0.646114106
737776.75,-0.65658473
737777,-0.22491284
737777.25,-1.701333829
737777.5,-0.142751592
737777.75,-0.285146931
737778,1.391852653
737778.25,0.12347745
737778.5,0.499175191
737778.75,0.070321167
737779,0.225213191
737779.25,-0.600477487
737779.5,0.474867971
737779.75,-0.39932759
737780,0.323723173
737780.25,1.597371538
737780.5,0.581985735
737780.75,0.43553655
737781,-0.763718326
737781.25,1.346344145
737781.5,-0.061698885
737781.75,-0.804824563
737782,-0.679201472
737782.25,1.033928415
737782.5,1.011916455
737782.75,1.106254557
737783,-0.904623184
737783.25,-0.707712673
737783.5,-0.295693941
737783.75,-0.754204399
737784,-0.512815469
737784.25,-0.828460938
737784.5,-0.552860827
737784.75,0.110482183
737785,0.184056299
737785.25,-1.862332096
737785.5,-0.049366179
737785.75,-0.662963021
737786,0.106804301
737786.25,0.880811716
737786.5,0.363878167
737786.75,-1.421982762
737787,-0.583952984
737787.25,-1.704853452
737787.5,-0.02913536
737787.75,-1.037243939
737788,0.121575448
737788.25,-0.657682686
737788.5,-0.291126428
737788.75,-1.292414451
737789,-0.39135356
737789.25,-0.59770169
737789.5,1.157434522
737789.75,0.677043356
737790,1.168137026
737790.25,0.749629184
737790.5,1.244642525
737790.75,-0.364255478
737791,-0.992330286
737791.25,1.341938142
737791.5,-0.636891412
737791.75,0.911481799
737792,0.354437198
737792.25,0.599276421
737792.5,1.326171814
737792.75,-0.641972039
737793,-1.621785771
737793.25,0.449136969
737793.5,-1.014037758
737793.75,-1.74558194
737794,-0.215046561
737794.25,1.535190145
737794.5,-1.285682403
737794.75,-0.156349133
737795,0.014137743
737795.25,-1.248834676
737795.5,0.539217722
737795.75,-1.471329248
737796,0.822305571
737796.25,-0.648275523
737796.5,-0.896088434
737796.75,-0.83537669
737797,0.529268115
737797.25,-0.098137133
737797.5,0.989682668
737797.75,-0.419786465
737798,0.121042387
737798.25,-1.030623295
737798.5,3.070134093
737798.75,1.38705988
737799,0.1621505
737799.25,-0.052275393
737799.5,0.679804028
737799.75,0.47182049
737800,-0.635552487
737800.25,-1.973412754
737800.5,0.69042218
737800.75,-0.784396283
737801,0.939099259
737801.25,1.604995078
737801.5,-0.968435052
737801.75,1.007372629
737802,0.520236361
737802.25,0.850074959
737802.5,0.594212038
737802.75,1.787070133
737803,-0.077730444
737803.25,0.959645623
737803.5,0.526758731
737803.75,-2.221961221
737804,-1.143509123
737804.25,-0.98409682
737804.5,1.15101284
737804.75,0.191460542
737805,-1.816093999
737805.25,-0.207731632
737805.5,-0.311183827
737805.75,-0.16499939
737806,0.742179837
737806.25,-1.056961746
737806.5,-0.345036621
737806.75,1.594983626
737807,-0.229916169
