CTRO1,2017-10-04-00:00:00'
736972,-0.005092257
736973,-0.428569364
736974,0.040726205
736975.001,0.513671492
736976.001,0.084672416
736977.001,-0.483682066
736978,1.179264209
736979,-1.092728319
736980,0.097367418
736981,-1.390014336
736982,0.231088342
736983,0.106730028
736984,-0.126417162
736985,0.803770029
736986,-0.973842799
736987,-1.634727777
736988,1.353498895
736989,3.296687909
736990,-0.48370649
736991,0.32808935
736992,0.558255099
736993,0.77522126
736994,-0.782267042
736995,-0.511891357
736996,0.307423705
736997,-0.741697795
736998,0.76175811
736999,1.203807619
737000,1.544053251
737001,-1.09414527
737002,1.400915528
737003,-0.711439497
737004,-0.95950008
737005,0.523566709
737006,-0.408900967
737007,-0.737699056
737008,0.359934238
737009,-0.739242481
737010,0.006779789
737011,0.138827892
737012,-0.202579755
737013,0.065529372
737014,0.231479096
737015,-0.355463622
737016,1.403865781
737017,-0.625625729
737018,1.268646859
737019,-0.32091546
737020,-0.591019836
737021,0.502743127
737022,-3.178962191
737023,-0.790750534
737024,1.582809969
737025,0.407144407
737026,0.56738998
737027,-1.170556271
737028,-0.518923838
737029,-0.468445976
737030,-0.910812149
737031,-0.025861716
737032,-0.315725903
737033,-1.307848245
737034,-1.626845231
737035,-1.047162435
737036,-1.296757754
737037,-0.710640482
737038,-1.34985473
737039,-0.205560644
737040,-0.421786773
737041,-0.443375608
737042,0.4366164
737043,-0.165094841
737044,-0.266930072
737045,-1.936674696
737046,-0.047514677
737047,2.203975391
737048,0.528208393
737049,0.702429582
737050,-1.356774165
737051,0.308653302
737052,-0.737729463
737053,0.473918541
737054,-1.469511377
737055,1.206916663
737056,-1.233543872
737057,-0.57375839
737058,1.415917156
737059,0.612823175
737060,-1.163852
737061,1.598920674
737062,-0.939596244
737063,0.570324536
737064,0.552471194
737065,2.374292707
737066,1.109524102
737067,-0.046080444
737068,-0.301553321
737069,-2.887445254
737070,0.99571683
737071,-1.56211006
737072,-0.317499647
